bcodmoid,name,shortname,definition,date
BCODMO/414,CalVet,,The California Cooperative Oceanic Fisheries Investigations (CalCOFI) Vertical Egg Tow device is a type of vertical net tow.  Note that mesh sizes may vary.,2/4/14
BCODMO/415,Cod Drifter,,"Short-term drifter incubation deployment.  Incubators are filled with seawater and larval cod and food sources, and then placed <i>in situ</i> at various depths to enable investigation of the effect of light and turbulence on feeding success.",2/4/14
BCODMO/416,Coastal Ocean Lagrangian Float,,"A COastal Ocean Lagrangian (COOL) float measures compass angle, pressure, and temperature and is constructed from a glass pipe 2.2 m long and with an outer diameter of 9.5 cm. The float consists of the glass pipe, electronics, a volume changer (VOCHA) located within the float, vanes  and a compass, a pinger and either a compressee or drop weight. The COOL float is based on the previously designed isopycnal f/h float (Rossby et al., 1994). Glass was used since it has a very small thermal expansion coefficient. Thus, the float will remain on the same density surface even if the temperature and salinity of the water changes but its density doesn't. If a water parcel is displaced vertically, it will either expand or compress due to the change in pressure and not change its potential density. Since the glass float is less compressible than seawater, it will not follow this water parcel. Therefore, a compressee is added to the float to match the float's compressibility to that of seawater. The COOL float has a volume changer (VOCHA) in it to allow the float to follow a water parcel whose density is changing. However, in our short test deployments, we only used the VOCHA for calibration purposes (described later). Eight vanes at a angle to the horizontal and a compass were added to the isopycnal f/h to make the COOL float. As water flows vertically past the float, the vanes will make the float rotate. Measuring the rotation rate with a compass inside the float will provide a measure of the vertical velocity past the float. If the float is isobaric (that is, the float will remain at a constant pressure; it does not have a compressee), the vertical velocity past the float will be mainly due to the vertical velocity of internal waves. However, vanes on the isopycnal COOL float will make it respond to diapycnal velocities instead of vertical velocities. That is, the float will measure only the amount of water flowing past the float whose density is changing. ",2/4/14
BCODMO/417,CTD profiler,,"The Conductivity, Temperature, Depth (CTD) unit is an integrated instrument package designed to measure the conductivity, temperature, and pressure (depth) of the water column.  The instrument is lowered via cable through the water column and permits scientists observe the physical properties in real time via a conducting cable connecting the CTD to a deck unit and computer on the ship. The CTD is often configured with additional optional sensors including fluorometers, transmissometers and/or  radiometers.  It is often combined with a Rosette of water sampling bottles (e.g. Niskin, GO-FLO) for collecting discrete water samples during the cast.  This instrument designation is used when specific make and model are not known. ",2/4/14
BCODMO/418,CTD Falmouth Scientific Instruments,,CTD measurements taken by the Falmouth Scientific Instruments sensor.,2/4/14
BCODMO/419,CTD MOCNESS,,"The CTD part of the MOCNESS includes 1) a pressure (depth) sensor which is a thermally isolated titanium strain gauge with a standard range of 0-5000 decibars full scale, 2) A Sea Bird temperature sensor whose frequency output is measured and sent to the surface for logging and conversion to temperature by the software in the MOCNESS<br />computer (The system allows better than 1 milli-degree resolution at 10 Hz sampling rate), and 3) A Sea Bird conductivity sensor whose output frequency is measured and sent to the surface for logging and conversion to conductivity by the software in the computer (The<br />system allows better than 1 micro mho/cm at 10 Hz sampling rate). The data rate depends on the speed of the computer and the quality of the cable.  With a good cable, the system can operate at 2400 baud, sampling all variables at 2 times per second.  One sample every 4 seconds is the default, although the hardware can operate much faster. (From The MOCNESS Manual)",2/4/14
BCODMO/420,CTD Sea-Bird SEACAT 19,,"The Sea-Bird SBE 19 SEACAT Recorder measures conductivity, temperature, and pressure (depth).  The SEACAT is self-powered and self-contained and can be deployed in profiling or moored mode. The SBE 19 SEACAT was replaced in 2001 by the 19plus. <a href=""http://www.seabird.com/"">more information from Sea-Bird Electronics</a>",2/4/14
BCODMO/421,CTD Sea-Bird 25,,"The Sea-Bird SBE 25 SEALOGGER CTD is battery powered and is typically used to record data in memory, eliminating the need for a large vessel, electrical sea cable, and on-board computer. All SBE 25s can also operate in real-time, transmitting data via an opto-isolated RS-232 serial port. </p><p>Temperature and conductivity are measured by the SBE 3F Temperature sensor and SBE 4 Conductivity sensor (same as those used on the premium SBE 9plus CTD). The SBE 25 also includes the SBE 5P (plastic) or 5T (titanium) Submersible Pump and TC Duct. The pump-controlled, TC-ducted flow configuration significantly reduces salinity spiking caused by ship heave, and in calm waters allows slower descent rates for improved resolution of water column features. Pressure is measured by the modular SBE 29 Temperature Compensated Strain-Gauge Pressure sensor (available in eight depth ranges to suit the operating depth requirement).</p><p>The SBE 25's modular design makes it easy to configure in the field for a wide range of auxiliary sensors, including  optional dissolved oxygen (SBE 43), pH (SBE 18 or SBE 27), fluorescence, transmissivity, PAR, and optical backscatter sensors.</p><p> <a href=""http://www.seabird.com/"">more information from Sea-Bird Electronics </a> ",2/4/14
BCODMO/422,CTD Sea-Bird 911,,"The Sea-Bird SBE 911 is a type of CTD instrument package.  The SBE 911 includes the SBE 9 Underwater Unit and the SBE 11 Deck Unit (for real-time readout using conductive wire) for deployment from a vessel. The combination of the SBE 9 and SBE 11 is called a SBE 911.  The SBE 9 uses Sea-Bird's standard modular temperature and conductivity sensors (SBE 3 and SBE 4). The SBE 9 CTD can be configured with auxiliary sensors to measure other parameters including dissolved oxygen, pH, turbidity, fluorescence, light (PAR), light transmission, etc.). <a href=""http://www.seabird.com/"">More information from Sea-Bird Electronics</a>. ",2/4/14
BCODMO/423,CTD SeaSoar,,CTD measurements taken during a SeaSoar tow.,2/4/14
BCODMO/424,Drifter Buoy,,"Drifter buoy to include the Beardsley Drifter.  Generic drifter buoys may be surface or sub-surface buoys that move with the current.  They have a variety of instruments attached, providing a platform that allows for the measurement of surface drifts, air pressure and other variables.  The Beardsley Drifters  are near-surface satellite-tracked drifters used for observations of circulation patterns.  They are WOCE-style drifters featuring holey sock drogues. Each drifter has a small (~ 30 cm diameter) surface float with ARGOS transmitter and batteries tethered to a holey sock drogue centered at 15 m below the surface. The drogue, about 10 m tall and 1 m in diameter, is designed to ""lock"" itself to the water so that the surface float follows the mean water motion at 15 m depth with very little slippage even in high winds. Thus measuring the drifter's position as a function of time provides a Lagrangian measurement of the 15-m ocean current. (<a href=""http://globec.whoi.edu/jg/info/globec/soglobec/drifters_argos%7Bdir=globec.whoi.edu/jg/dir/globec/soglobec/,data=globec.whoi.edu:80/jg/serv/globec/soglobec/drifters_argos.html1%7D"">http://globec.whoi.edu/jg/info/globec/soglobec/drifters_argos%7Bdir=glob...</a>?)   WOCE-drifters: <a href=""http://woce.nodc.noaa.gov/wdiu/diu_summaries/svp/index.htm"">http://woce.nodc.noaa.gov/wdiu/diu_summaries/svp/index.htm</a>",2/4/14
BCODMO/425,EPSONDE,,"An EPSONDE is a tethered free-fall profiling system used to obtain temperature microstructure and velocity turbulence data in the water column. The EPSONDE profiler carries a variety of slow and fast sensors for measuring temperature microstructure, velocity microstructure, conductivity and depth. These data yield turbulent kinetic energy dissipation rates and temperature variance dissipation rates as well as derived quantities such as turbulent diffusivity. ",2/4/14
BCODMO/426,Fast Repetition Rate Fluorometer,,An FRRf is used for measuring the fluorescence of a sample of phytoplankton photosynthetic competency (Fv/Fm).,2/4/14
BCODMO/427,Greene Bomber,,"The Greene Bomber is a ENDECO V-fin towed body with overall dimensions of length: 139.7 cm; width at front: 66 cm; width at rear: 142.2 cm; height: 48.26 cm.  It is constructed primarily of fiberglass. Since the early 1990's it has been towed just below the sea surface with acoustic and environmental sensors to provide continuous profiles of the water column acoustic backscattering and target strengths from zooplankton with a size range of ~ 1.5 mm to 100 mm, and sea surface environmental properties (temperature, salinity, and fluorescence). It was first used with a BioSonics dual-beam acoustic system operating at 420 kHz and 1 MHz or 120 and 420 kHz. The environmental sensing system (ESS) was the ESS used on MOCNESS. In 1997 the acoustics were changed to a HTI acousitic system with 120 and 420 kHz transducers. In 2010, two additional HTI transducers (43 and 200 kHz) were added.  For additional detail see:</p><p>Wiebe, P. and C. Greene.  1994. The use of high frequency acoustics in the study of zooplankton spatial and temporal patterns. Proc. NIPR Symp. Polar Biol. 7: 133-157.</p><p>Wiebe, P.H., D. Mountain, T.K. Stanton, C. Greene, G. Lough, S. Kaartvedt,  J. Dawson, and N. Copley. 1996. Acoustical study of the spatial distribution of plankton on Georges Bank and the relation of volume backscattering strength to the taxonomic composition of the plankton.   Deep-Sea Research II. 43: 1971-2001.</p><p>Wiebe, PH; Stanton, T K; Benfield, M C; Mountain, D G; Greene, CH. 1997. High-frequency acoustic volume backscattering in the Georges Bank coastal region and its interpretation using scattering models. IEEE Journal of Oceanic Engineering22(3): 445-464.",2/4/14
BCODMO/428,"Binoculars, Handheld",,"Handheld binoculars, generally used for bird observations.",2/4/14
BCODMO/429,Hydroacoustic Technology Incorporated echosounder,,"The  Hydroacoustic Technology Inc multi-frequency system is a towed digital split-beam/single-beam hydroacoustic system designed specifically to assess the abundance and distribution  of fish and plankton.   Digital signal processing hardware is combined with a MS Windows2000/XP -based user interface to produce results in real time. (<a href=""http://www.htisonar.com/multi_frequency_echo_sounder.htm"">http://www.htisonar.com/multi_frequency_echo_sounder.htm</a>)",2/4/14
BCODMO/430,JelNet,,"A JelNet is a plankton net system specifically designed to quantify fragile zooplankton (""jellies"").  The net is 1.5m^2 at its opening and tapers to a shallow 50 cm deep flat bottom which has a collection ""sock"" to which a standard MOCNESS cod collar and end bucket were attached. Mesh size of the net is 5mm (3/16 inch). The square net frame is 16mm (5/8 inch) stainless steel and is bridled from each of the corners to a common point above by a 5mm (3/16 inch) stainless steel wire with thimbles spliced into the wire ends. A 45-kg lead ball is attached to a 13mm ( 1/2 inch) oblong stainless ring when the net is fished.",2/4/14
BCODMO/431,JelNet2,,"A JelNet2 is a 0.61-m bongo frame fitted with paired 1000 micrometer mesh nets to collect larger gelatinous predators. A 45 kg ball was attached beneath the bongo frame to depress the sampler.  Although the JelNet2 is designed for the same purpose as a JelNet (to sample fragile zooplankton or ""jellies""), it is not a variation on a JelNet.",2/4/14
BCODMO/432,LI-COR LI-193 PAR Sensor,,"The LI-193 Underwater Spherical Quantum Sensor uses a Silicon Photodiode and glass filters encased in a waterproof housing to measure PAR (in the 400 to 700 nm waveband) in aquatic environments. Typical output is in micromol s-1 m-2.  The LI-193 Sensor gives an added dimension to underwater PAR measurements as it measures photon flux from all directions. This measurement is referred to as Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance. This is important, for example, when studying phytoplankton, which utilize radiation from all directions for photosynthesis. LI-COR began producing Spherical Quantum Sensors in 1979; serial numbers for the LI-193 begin with SPQA-XXXXX (licor.com).   ",2/4/14
BCODMO/433,Meter Net,,"A meter net is a plankton net with a one meter diameter opening and a mesh size of .333 mm, towed horizontally, obliquely or vertically, also known as a Ring Net.",2/4/14
BCODMO/434,CTD Neil Brown Mark III,,"The Neil Brown Instrument Systems Mark III Conductivity, Temperature, Depth (CTD) instrument is an integral unit containing pressure, temperature and conductivity sensors with an optional dissolved oxygen sensor in a pressure-hardened casing.  Developed in the 1970s, the Neil Brown CTD unit was able to digitize conductivity, temperature and pressure measurements at sufficient speeds to permit oceanographers to study 10 cm features at winch lowering speeds of 30 meters per minute. The most widely used variant in the 1980s and 1990s was the MK3B.  The MK3C fitted with an improved pressure sensor  to reduce hysteresis was developed to meet the requirements of the WOCE project.  The instrument is no longer in production, but is supported (repair and calibration) by General Oceanics.",2/4/14
BCODMO/435,CTD Neil Brown Mark 5,,"The Neil Brown Instrument Systems Mark 5 CTD is used to measure conductivity, temperature, and depth of sea water. The MK5 profiler has a higher sampling rate then the SeaBird SEACAT. (For the GLOBEC Georges Bank project the Mark 5 was instrumented with an expanded suite of sensors and deployed almost exclusively at GLOBEC Standard stations.) ",2/4/14
BCODMO/436,MOCNESS.25,,The Multiple Opening/Closing Net and Environmental Sensing System or MOCNESS is a family of net systems based on the Tucker Trawl principle.  The MOCNESS-1/4 carries nine 1/4-m2 nets usually of 64 micrometer mesh and is used to sample the larger micro-zooplankton.,2/4/14
BCODMO/437,MOCNESS1,,The Multiple Opening/Closing Net and Environmental Sensing System or MOCNESS is a family of net systems based on the Tucker Trawl principle. The MOCNESS-1 carries nine 1-m2 nets usually of 335 micrometer mesh and is intended for use with the macrozooplankton.  All nets are black to reduce contrast with the background.  A motor/toggle release assembly is mounted on the top portion of the frame and stainless steel cables with swaged fittings are used to attach the net bar to the toggle release.  A stepping motor in a pressure compensated case filled with oil turns the escapement crankshaft of the toggle release which sequentially releases the nets to an open then closed position on command from the surface. -- from the MOCNESS Operations Manual (1999 + 2003).,2/4/14
BCODMO/438,MOCNESS10,,"The Multiple Opening/Closing Net and Environmental Sensing System (MOCNESS) is based on the Tucker Trawl principle (Tucker, 1951).  The MOCNESS-10 (with 10 m^2 nets) carries 6 nets of 3.0-mm circular mesh which are opened and closed sequentially by commands through conducting cable from the surface (Wiebe et al., 1976). In this system, ""the underwater unit sends a data frame, comprising temperature, depth, conductivity, net-frame angle, flow count, time, number of open net, and net opening/closing, to the deck unit in a compressed hexadecimal format every 2 seconds and from the deck unit to a microcomputer every 4 seconds"" (Wiebe et al., 1985).",2/4/14
BCODMO/439,Photosynthetically Available Radiation Sensor,,"A PAR sensor measures photosynthetically available (or active) radiation.  The sensor measures photon flux density (photons per second per square meter) within the visible wavelength range (typically 400 to 700 nanometers). PAR gives an indication of the total energy available to plants for photosynthesis.  This instrument name is used when specific type, make and model are not known.",2/4/14
BCODMO/440,Phytoplankton Net,,A Phytoplankton Net is a generic term for a sampling net having mesh size of 150 microns or less that is used to collect phytoplankton. It is used only when detailed instrument documentation is not available.,2/4/14
BCODMO/441,Zooplankton Pump - gas powered diaphragm,,"This kind of diaphragm pump, manufactured by Homelite and run on gasoline, is called a positive displacement pump because it pumps a specific volume for each pump cycle.  Diaphragm pumps move fluids more slowly than centrifugal pumps but treat the animals more gently and they can handle thicker mud and larger amounts of solids.  They also tolerate air being drawn into the pump and can be run dry without damage.   In 2002, Homelite was acquired and became Riverside Pump Manufacturing, Inc.  Diaphragm pumps feature a straight through self priming design and the rubber elastomer diaphragm and flapper valves are easily replaced on site.",2/4/14
BCODMO/442,Radiometer,,"Radiometer is a generic term for a range of instruments used to measure electromagnetic radiation (radiance and irradiance) in the atmosphere or the water column.  For example, this instrument category includes free-fall spectral radiometer (SPMR/SMSR System, Satlantic, Inc), profiling or deck cosine PAR units (PUV-500 and 510, Biospherical Instruments, Inc).  This is a generic term used when specific type, make and model were not specified.",2/4/14
BCODMO/443,Reeve Net,,"A Reeve Net is a conventional ring net with a very large acrylic cylindrical cod-end (30 liters) designed to collect fragile gelatinous animals. The net is lowered to a particular depth and then hauled slowly back to the surface (5-10 m/min). Reeve (1981) also described a double net system with no bridle and flotation at the net mouth that is attached to a roller mechanism that rides on a tow wire.<br />The roller system is locked in place by a pressure release device. Once below a set pressure, the roller<br />and nets are released and they float slowly up the wire, gently collecting the zooplankton, without being<br />influenced by the motion of the vessel and associated vertical wire movements. (from Wiebe and Benfield, 2003)",2/4/14
BCODMO/444,Ring Net,,"A Ring Net is a generic plankton net, made by attaching a net of any mesh size to a metal ring of any diameter.  There are 1 meter, .75 meter, .25 meter and .5 meter nets that are used regularly. The most common zooplankton ring net is 1 meter in diameter and of mesh size .333mm, also known as a 'meter net' (see Meter Net).",2/4/14
BCODMO/445,Remotely Operated Vehicle,,"Remotely operated underwater vehicles (ROVs) are unoccupied, highly maneuverable underwater robots operated by a person aboard a surface vessel. They are linked to the ship by a group of cables that carry electrical signals back and forth between the operator and the vehicle. Most are equipped with at least a video camera and lights. Additional equipment is commonly added to expand the vehicles capabilities. These may include a still camera, a manipulator or cutting arm, water samplers, and instruments that measure water clarity, light penetration, and temperature. <a href=""http://oceanexplorer.noaa.gov/technology/subs/rov/rov.html)"" target=""_blank"">More information</a>.",2/4/14
BCODMO/446,Scanfish,,"The Scanfish is a remotely operated, towed, undulating vehicle system designed for collecting 3D profile data of the water column.  It includes a Conductivity, Temperature, Depth (CTD) profiler as part of the instrument package.  The Scanfish housing has fins to allow it to dive and rise, an altimeter to determine the depth of the unit, a pump that moves water through the system and a data cable that reports data back to the ship as the fish is being towed through the water behind the vessel.  The Scanfish can be configured with additional sensors, e.g. fluorometer.",2/4/14
BCODMO/447,CTD Sea-Bird,,"Conductivity, Temperature, Depth (CTD) sensor package from SeaBird Electronics, no specific unit identified. This instrument designation is used when specific make and model are not known. See also other SeaBird instruments listed under CTD. <a href=""http://www.seabird.com/"">More information from Sea-Bird Electronics</a>. ",2/4/14
BCODMO/448,SeaSoar,,"Towed, undulating vehicle usually equipped with a VPR, TAPS, PAR, CTD",2/4/14
BCODMO/449,TRACOR Acoustic Profiling System,,"The TRACOR Acoustic Profiling System (TAPS) is custom designed zooplankton sampler developed by V. Holliday of Tracor Inc. It uses a four transducer array operating at frequencies 265 kHz, 420 kHz, 1.1 MHz, and 3 MHz. The transducer array is designed to provide information on the distribution of individual organisms ranging in size from individual copepods to nauplii at distances of 2-3 m.",2/4/14
BCODMO/450,Tucker Trawl,,"The Tucker Trawl is a non-opening/closing net with a rectangular mouth opening first built by G.H. Tucker in 1951.  The original had a 183 cm by 183 cm flexible rectangular mouth opening 914 cm long net with 1.8 cm stretched mesh for the first 457 cm and 1.3 cm mesh for last 457 cm. 152 cm of coarse plankton or muslin netting lined the end of the net.  Tucker designed the net to collect animals associated with the deep scattering layers, principally euphausiids, siphonophores, and midwater fish.  (from Wiebe and Benfield, 2003).  Currently used Tucker Trawls usually have 1-m2 openings.",2/4/14
BCODMO/451,Video Plankton Recorder,,"The Video Plankton Recorder (VPR) is a video-microscope system used for imaging plankton and other particulate matter in the size range from a few micrometers to several centimeters. The VPR is essentially an underwater microscope. It consists of four video cameras (with magnifying optics) synchronized at 60 fields per second (fps) to a red-filtered 80 W xenon strobe (pulse duration = 1 microsecond). The current lens on each camera can be adjusted to provide a field of view between 5 mm and 10 cm. Use of higher magnification lenses is currently being explored for viewing protozoans (</p><p>Deployment: Most commonly, the VPR is mounted in a frame and lowered into the water from the stern of the ship. Sometimes, a CTD also is mounted next to the VPR to collect depth, temperature, and salinity information at the same time as each video image. The instrument is lowered down through the water to a maximum depth of 350 meters to generate a profile of plankton/particle abundance and taxon group along with temperature and salinity.  In addition to the towed configuration for mapping plankton distributions, it is possible to deploy the VPR in a fixed position (on a mooring) for viewing plankton swimming behaviors in two or three dimensions. The VPR instrument system has been used in both configurations, and deployment on ROVs has been proposed.</p><p>This definition was taken from the <a href=""http://www.whoi.edu/instruments/viewInstrument.do?id=1007"">WHOI Ocean Instruments Web site </a> and from a <a href=""http://www.usglobec.org/newsletter/news3/news3.vpr.html"">US GLOBEC Newsletter</a>.",2/4/14
BCODMO/452,Half-meter Net,,"A Half-meter net is a plankton net, 0.5 meters in diameter, with mesh sizes usually between 202 and 500 microns and also usually equipped with a flow meter. For the Northeast Pacific GLOBEC program this net was usually towed vertically from within 5 meters of the bottom to the surface at a rate of 30 meters/minute.",2/4/14
BCODMO/453,Zooplankton Pump - gas centrifugal,,The Pacer gas-powered centrifugal pump is a water pumping system for zooplankton sampling.,2/4/14
BCODMO/454,Aanderaa Recording Current Meter,,"The Aanderaa Recording Current Meter (RCM) is a self-contained instrument that can be moored in the sea and record ocean current, water temperature, conductivity of the water and depth of the instrument. This instrument designation is used when specific make and model are not known. (<a href=""http://www.aadi.no/"">more from Aanderaa</a>).",2/4/14
BCODMO/455,Advanced Very High Resolution Radiometer,,"""The AVHRR instrument consists of an array of small sensors that record (as digital numbers) the amount of visible and infrared radiation reflected and (or) emitted from the Earth's surface"" (<a href=""http://nationalatlas.gov/articles/mapping/a_avhrr.html"">more information</a>).",2/4/14
BCODMO/456,Sea-viewing Wide Field-of-view Sensor,,"The Sea-viewing Wide Field-of-view Sensor (SeaWiFS), a polar satellite rotating around the Earth 14 times per day, is operated and maintained by the US National Aeronautics and Space Administration (NASA) to provide quantitative data on global ocean bio-optical properties.  The NASA/DAAC at Goddard Space Flight Center (GSFC) produces binned data and images as the final SeaWiFS data products.  For more information refer to <a href=""http://oceancolor.gsfc.nasa.gov/SeaWiFS/"">SeaWiFS Project Homepage</a>.",2/4/14
BCODMO/457,Altimeter,,An instrument that measures height above a fixed surface.  The data can be used to map ocean-surface topography and generate gridded surface height fields.,2/4/14
BCODMO/458,Vector Measuring Current Meter,,"The Vector Measuring Current Meter (VMCM) is an instrument for obtaining ocean current data.  It is often deployed on moorings for long periods of time (years).  The VMCM employs biaxial propellers and has undergone extensive tests and calibrations (Weller and Davis 1980). It is a well-characterized mechanical current meter and has been used for benchmarking other current meters (e.g., Dickey et al. 1998a). The two sets of orthogonal cosine response propeller sensors directly measure components of horizontal velocity, and direction is determined with a flux-gate compass (estimated resolution of 1.4 and accuracy of 5) to allow rotation of components into geographical coordinates.<br /><br /><br /><br />References: <br /></p><p>Dickey, TD, AJ Plueddemann, and RA Weller, 1998a: Current and water property measurements in the coastal ocean. The Sea, KH Brink and AR Robinson, Eds., Vol. 10, John Wiley and Sons, 367-398.<br /><br /><br /><br />Emery, WJ and Thomson, RE. 2004. Data Analysis Methods in Physical Oceanography. 638pp.<br /><br /><br /><br />Weller, R. A., and R. E. Davis, 1980: A vector measuring current meter. Deep-Sea Res., 27A, 565-582.<br /><br /><br /><br />Gilboy, TP, TD Dickey, DE Sigurdson, X. Yu, and D. Manov. 2000. An Intercomparison of Current Measurements Using a Vector Measuring Current Meter, an Acoustic Doppler Current Profiler, and a Recently Developed Acoustic Current Meter",2/4/14
BCODMO/459,Vector Averaging Current Meter,,Vector Averaging Current Meter,2/4/14
BCODMO/460,Neuston Net,,"Neuston Nets are nets that collect zooplankton that live in the top few centimeters of the sea surface (the neuston layer).  This specialized net has a rectangular mouth opening usually 2 or 3 times as wide as deep, i.e. 1 meter by 1/2 meter or 60 cm by 20 cm, with  sometimes hollow piping construction to aid in flotation. They are generally towed half submerged at 1-2 kts from the side of the vessel on a boom to avoid the ship's wake.",2/4/14
BCODMO/461,CTD Neil Brown Mark III plus TAPS,,"This is an integrated instrument package comprising a Neil Brown Instrument Systems Mark III Conductivity, Temperature, Depth (CTD) profiler unit with a Tracor Acoustic Profiling System (TAPS). (see TAPS entry for a description of that instrument)",2/4/14
BCODMO/462,Ice Corer,,"An ice corer is used to drill into deep ice and remove long cylinders of ice from which information about the past and present can be inferred. Polar ice cores contain a record of the past atmosphere - temperature, precipitation, gas content, chemical composition, and other properties. This can reveal a broad spectrum of information on past environmental, and particularly climatic, changes. They can also be used to study bacteria and chlorophyll production in the waters from which the ice core was extracted.",2/4/14
BCODMO/463,Sonobuoy,,"A Sonobuoy is a relatively small (typically 4 inches, or 124 mm, in diameter and 36 inches, or 910 mm, long) expendable sonar system that is dropped/ejected from aircraft or ships conducting anti-submarine warfare or underwater acoustic research.",2/4/14
BCODMO/464,Turner Designs Fluorometer -10-AU,,"The Turner Designs 10-AU Field Fluorometer is used to measure Chlorophyll fluorescence.  The 10AU Fluorometer can be set up for continuous-flow monitoring or discrete sample analyses. A variety of compounds can be measured using application-specific optical filters available from the manufacturer. (read more from Turner Designs, turnerdesigns.com, Sunnyvale, CA, USA)",2/4/14
