"entrykey";"entryterm";"entrytermabbr";"entrytermdef";"entrytermlastmod"
"LAB31";"magnetic susceptibility systems";"";"Sensors, probes and meters that measure the degree to which a sample or part thereof is influenced by a magnetic field.";"2013-02-26"
"LAB32";"acoustic velocity systems";"";"Instruments that measure the speed or velocity of sound, including P-waves, in samples of solids, liquids or gases.";"2013-02-26"
"LAB33";"laboratory autosamplers";"";"Laboratory apparatus  that automatically introduces one or more samples with a predetermined volume or mass into an analytical instrument.";"2012-03-01"
"LAB34";"chemiluminescence analysers";"";"Laboratory apparatus that detemines the concentration of a chemical species by quantification of the electromagnetic radiation (usually visible light) produced by a chemical reaction.";"2012-03-22"
"LAB35";"voltammetry analysers";"";"Instruments that obtain information about an analyte by applying a potential and measuring the current produced in the analyte.";"2012-08-02"
"LAB36";"flow injection analysers";"";"Instruments that inject a sample into a flowing carrier solution, adding reagents whilst controlling the environment to produce a chemical reaction before passing the sample to a detector.";"2012-08-02"
"LAB37";"flow cytometers";"";"Instruments that suspend cells in a stream of fluid past detection sensors whilst illuminating them with laser light. Used for cell counting, sorting, biomarker detection and protein engineering.";"2012-08-02"
"LAB38";"cavity ring-down spectroscopes";"CRDS";"Instruments that illuminate a sample inside an optical cavity, typically using laser light, and measure the absolute optical extinction of the sample resulting from scattering and absorption.";"2012-08-21"
"LAB39";"Geiger counters";"";"Instruments that measure the amount of alpha, beta or gamma radiation through quantification of the ionization of a low-pressure gas contained in a tube. Sometimes referred to as Geiger-Müller counters.";"2012-08-30"
"LAB40";"Volume measures";"";"Pieces of apparatus that determine the volume of a liquid sample or dispense measured volumes of liquid. Includes devices covering a wide range of sophistication from measuring cylinders, syringes and manual pipettes through to programmable electronic instruments.";"2012-11-29"
"LAB41";"laboratory cameras";"";"All types of photographic equipment that are hand-held or part of laboratory apparatus including stills, video, film and digital systems.";"2013-12-19"
"LAB42";"laboratory optical rangefinders";"";"Devices used to detect the distance between sensor and sample or presence/absence of an object based a light (often infrared and possibly laser) transmitter and a photoelectric receiver.";"2013-12-19"
"LBTG";"labelling tags";"";"Passive devices attached to captured organisms to specifically identify them when recaptured after release.";"2013-02-26"
"MMIS";"multi-frame imaging sonar";"";"High-frequency (>1 MHz), possibly multiple frequency, active sonar systems that provide images approaching the same quality as optical video cameras. They may be deployed in many ways including hand-held by divers, attached to profiling instruments, AUVs and ROVs, towed fish or moorings.  They have many scientific, commercial and military applications including observation and identification of fish, seabed characterisation, underwater vessel inspections and mine detection. Examples of this type of system are DIDSON (Dual-frequency IDentification SONar) and LIMIS (Limpet Mine Imaging Sonar).  Any instrument that may be considered the underwater acoustic equivalent of an optical video camera belongs in this category.";"2013-02-18"
"MOD01";"Global models";"";"Numerical models that make predictions over the whole globe.";"2012-07-16"
"MOD02";"Regional models";"";"Numerical models that make predictions within a limited geographic area.";"2012-07-16"
"MOD03";"Atmosphere models";"";"Numerical models the make predictions in the atmosphere assuming that it is a closed system that doesn't interact with the hydrosphere.";"2012-07-16"
"MOD04";"Ocean models";"";"Numerical models the make predictions in the hydrosphere assuming that it is a closed system that doesn't interact with the atmosphere.";"2012-07-16"
"MOD05";"Coupled models";"";"Numerical models that make predictions in both the atmosphere and the hydrosphere by considering both spheres as a single system.";"2012-07-16"
"MOD06";"Meteorological models";"";"Numerical models that make predictions of weather parameters such as air temperature, pressure, humidity and winds.";"2012-07-16"
"MOD07";"Physical oceanographic models";"";"Numerical models that make predictions of physical oceanographic parameters such as water body temperature, salinity, currents and waves.";"2012-07-16"
"MOD08";"Biological and biogeochemical models";"";"Numerical models that make predictions of biological parameters, including ecosystem models.";"2012-07-16"
"MVBR";"marine vibroseis";"";"A marine seismic source generating sweeps of controlled varying frequency (from a few Hz to hundreds of Hz) and duration.";"2010-10-18"
"NATS";"natural source";"";"Any kind of natural source of acoustic waves, that can be used in passive seismics.";"2013-02-26"
"POS01";"Decca Navigator System main chain receivers";"Decca main chain";"<frequency>70 and 130kHz</frequency><mode>hyperbolic</mode><range>450km (day) to 750km (night)</range><accuracy>50m(day) to 200m (night) in good conditions down to 2km near range limit</accuracy><operating>WWII to 2001-03 (2000-03-31 in UK)</operating><notes> Transmitter groups, each with a master and three slaves</notes>.";"2013-02-26"
"POS02";"Global Navigation Satellite System receivers";"GLONASS";"<notes>Based on a network of satellites deployed by the former Soviet Union.  The network was initiated in 1976 but fell into disrepair before full global coverage was reached during the political upheaval of the early 90s</notes>.";"2010-02-19"
"POS03";"NAVSTAR Global Positioning System receivers";"GPS";"<accuracy>better than 100m</accuracy><notes>Global navigation based on a network of satellites deployed and maintained by the USA.</notes>.";"2013-02-26"
"POS04";"Differential Global Positioning System receivers";"DGPS";"<accuracy>better than 100m to better than 10m</accuracy><notes>GPS augmented by a network of fixed ground stations that continuously broadcast the difference between their true locations and the location determined from the satellites.</notes>.";"2013-02-26"
"POS05";"Long Range Navigation version C receivers";"LORAN C";"<frequency>70-130kHz</frequency><mode>hyperbolic</mode><range>950kmto 1700km (day): 650km to 1250km (day)</range><operational>1947 to 2010. Maintained as GPS backup in the EU.</operational><notes>Global navigation based on transmitters in several European countries, Japan, Canada (until 2002-10) and USA (until 2010-02-08).</notes>.";"2013-02-26"
"POS06";"Marine chronometers";"Clock";"<notes>Timepieces of sufficient precision to allow their use of portable time standards.</notes>.";"2013-02-26"
"POS07";"Sextants";"Sextant";"<notes>Optical instruments that accurately measure the angle between pairs of visible celestial bodies such as the sun, moon or stars. </notes>.";"2013-02-26"
"POS08";"Decca Navigator System HiFix receivers";"Decca HiFix";"<frequency>1.6MHz</frequency><mode>hyperbolic</mode><range>under 100km</range><accuracy>better than 10m: maximum accuracy at 50km range is 1.5m</accuracy><operating>1962 to 2000</operating><notes>Not for general navigation.  Chains usually set up for specific surveys.</notes>.";"2013-02-26"
"POS09";"Toran receivers";"Toran";"<frequency>around 2MHz</frequency><mode>hyperbolic</mode><range>150-200km</range><accuracy>better than 20m</accuracy><notes>Mostly used for aircraft.</notes>.";"2013-02-26"
"POS10";"Automatic Ranging Grid Overlay DM 54 receivers";"Argo DM54";"<frequency>1.6-2MHz</frequency><mode>hyperbolic</mode><range>450km</range><accuracy>4-7m down to 20m at maximum range</accuracy><operational>from 1977 (mid-80s in Europe)</operational><notes>Survey positioning system.</notes>.";"2013-02-26"
"POS11";"Trident receivers";"Trident";"<frequency>420-450MHz</frequency><mode>circular</mode><range>150km</range><accuracy>better than 3m</accuracy><notes>Survey positioning system.</notes>.";"2013-02-26"
"POS12";"Système leger de measure de distance receivers";"Syledis";"<frequency>420-450MHz</frequency><mode>hyperbolic or circular</mode><range>400km hyperbolic; 75-100km circular</range><accuracy>better than 2m below horizon (10m above horizon)</accuracy><operational>1980s to 1995</operational><notes>Navigation and positioning system for the North Sea petroleum industry.</notes>.";"2013-02-26"
"POS13";"Rana receivers";"Rana";"<frequency>around 300-400kHz</frequency><mode>hyperbolic</mode>.";"2013-02-26"
"POS14";"Pulse8 receivers";"Pulse8";"<frequency>100kHz</frequency><mode>hyperbolic</mode><range>250km to 750km</range><accuracy>30m to 500m</accuracy><operational>1970s to late 1990s</operational>.";"2013-02-26"
"POS15";"Omega receivers";"Omega";"<frequency>10-14kHz</frequency><mode>hyperbolic</mode><range>up to 15000km</range><accuracy>better than 7.4km</accuracy><operational>1968-1997</operational><notes>Global long-range but low accuracy navigation system</notes>.";"2013-02-26"
"POS16";"Argos GPS-localised transmitters";"Argos GPS";"<mode>GPS localisation</mode><accuracy>better than 100m</accuracy>.";"2013-02-26"
"POS17";"Argos doppler-localised transmitters";"Argos Doppler";"<mode>Doppler-derived Argos localisation</mode><accuracy>better than 250m (class 3) to worse than 1500m (class 0)</accuracy>.";"2013-02-26"
"POS18";"Navy Navigation Satellite System receivers";"Navsat";"<mode>Doppler-derived localisation</mode><accuracy>better than 10km or 2km if combined with relative water velocity em-log</accuracy>.";"2013-02-26"
"POS19";"inertial navigation systems";"INS";"<notes>Systems that determine spatial position using high-accuracy inertial measurements plus input from other sensors such as doppler current sensors to determine platform 3-D location by interpolation between satellite network fixes.</notes>.";"2013-02-26"
"POS20";"Motorola Mini-Ranger receivers";"Mini-Ranger";"<frequency>5410-5890MHz</frequency><range>up to 75km</range><accuracy>up to 2m</accuracy><notes>A family of short-wave receivers that determine position by determining the line-of-sight distance from 3 or more transmitters set up for the survey.</notes>.";"2013-02-26"
"POS21";"Hyperfix receivers";"Hyperfix";"<frequency>1.6-3.4MHz</frequency><mode>hyperbolic (usual), circular or combined</mode><range>250km (night) to 700km (day)</range><accuracy>up to 0.5-1m</accuracy><operating>until 2000</operating><notes>Racal positioning system similar to Decca HiFix based on temporary or permanent transmitter chains comprising a master plus at least two slaves.</notes>.";"2013-02-26"
"POS22";"Trisponder navigation systems";"Trisponder";"<range>80km</range><accuracy>1m (resolution 0.1m)</accuracy><notes>Family of microwave short-range positioning systems with vessel equipment and three shore transponders (master and two slaves) set up specifically for surveys.</notes>.";"2013-02-26"
"POS23";"radio tracking systems";"radioTracking";"<notes>Directional radio receivers that determine the location of a mobile radio transmitter (such as a bird or animal tag) by triangulation.</notes>.";"2013-02-26"
"POS24";"dead reckoning";"deadReckoning";"<notes>The process of estimating current position based upon a previously determined position, or fix, and advancing that position based upon known or estimated speeds over elapsed time, and course.</notes>.";"2013-02-26"
"POS25";"Kinematic Global Positioning System receivers";"KGPS";"<accuracy>Horizontal Accuracy: Fixed RTK mode: 1-5cm, Float RTK mode: 20cm-1m. Vertical accuracy : twice the horizontal accuracy</accuracy><operating>Since the mid-1990s</operating><notes>Real Time Kinematic (RTK) satellite navigation technique based on the use of carrier phase measurements of the GPS signals where a single reference station or a network of reference stations provides the real-time corrections.</notes>.";"2013-02-26"
"POS26";"Ultra Short Baseline Positioning Systems";"USBL";"Systems dedicated to the positioning of subsea vehicles such as ROV and AUV. They are based on acoustic transmitted signals between one or several transponders and one acoustic antenna installed on a surface vessel. The transponders are mounted on the underwater vehicle or are fixed on the seafloor. These underwater acoustic positioning systems are coupled with inertial navigation systems.";"2012-11-13"
"SBAG";"single-bubble airgun";"";"Array of air gun tuned in order to obtain the necessary energy wile reducing the size of the air guns.";"2013-02-26"
"SNAG";"airgun";"";"A marine seismic source which injects a bubble of highly compressed air into the water. Oscillations of the bubble as it alternatively expands and contracts generate a sonic wave whose frequency depends on the amount of air in the bubble, its pressure, and the water depth.";"2010-10-18"
"SNWG";"watergun";"";"A marine seismic energy source divided into two chambers, the firing chamber, which contains compressed air, and the other chamber, which is filled with water. When the gun is fired, the compressed air forces the shuttle downward and this expels the water from the lower chamber. The shot of water leaving the gun creates a void behind it and the collapse of water into this void creates an acoustic wave.";"2010-10-18"
"SPRK";"Sparker";"";"A seismic source in which an electrical discharge in water is the energy source.";"2013-02-26"
"TFSAMP";"thin film metal samplers";"";"Metal samplers comprising a filter, a diffusive gel layer and a resin layer that scavenge trace metals by diffusion from water bodies or in-situ sediment pore waters. A constant concentration gradient is set up in the gel from which the metal concentration in the sampled medium may be determined.";"2013-04-23"
"TRTG";"tracking tags";"";"Passive devices activated by radio-frequency energy or active devices with power supplies attached to living organisms with the purpose of determining the location of those organisms at any given time after tagging and release.";"2013-02-18"
"VSHC";"Vaporchoc";"";"A marine seismic energy source in which a quantity of superheated steam under high pressure is iniected into water. Subsequent condensation of the steam attenuates bubble oscillation.";"2010-10-18"
