"DeviceID","DeviceTerm","DeviceDefActions","DeviceCategory","DefaultInstrumentTerm","DeviceDescription"
"R2RE/1015","Meteorological Sensor","start;stop;service;other","meteorological device","MeterologicalSensor","A sensor that measures characteristics of the atmosphere such as  temperature, humidity, wind speed & direction and pressure."
"R2RE/9059","Meter Net","deploy;maxDepth;recover;abort;other","plankton net","MeterNet","A meter net is a plankton net with a one meter diameter opening and a mesh size of .333 mm, towed horizontally, obliquely or vertically, also known as a Ring Net."
"L05/102","meteorological packages","start;stop;service;other","met package","Metstation","integrated meteorological system measures temperature, pressure, humidity, etc."
"R2RE/9062","Multi-parameter Inorganic Carbon Analyzer","start;end;abort;other","dissolved gas sensor","MICA","Aleck Wang's sampling system does simultaneous measurements of surface sea water pCO2, TCO2, pH and atmospheric pCO2"
"R2RE/9060","Moored Profiler","startSample;stopSample;other","pump system","MMP","The McLane Moored Profiler (MMP) autonomously profiles the water column in a time-series along a fixed tether."
"R2RE/1058","MOCNESS","deploy;maxDepth;recover;abort;other","plankton net","MOCNESS","MOCNESS is a Multiple Opening/Closing Net and Environmental Sensing System which samples for plankton in the ocean. The system is towed beding a research vessel and consists five to twenty nets."
"R2RE/1017","MOCNESS1","deploy;maxDepth;recover;abort;other","plankton net","MOCNESS1","MOCNESS 1 (1 square meter) is a much-improved, high-tech version of the humble sampling net.  As MOCNESS tows behind a research ship, each net can be opened and shut independently so that it samples a discrete patch of water."
"R2RE/1018","MOCNESS10","deploy;maxDepth;recover;abort;other","plankton net","MOCNESS10","The MOCNESS-10 (with 10 m^2 nets) carries 6 nets of 3.0-mm circular mesh which are opened and closed sequentially by commands through conducting cable from the surface (Wiebe et al., 1976)."
"R2RE/9071","Sediment Trap - Moored","deploy;recover;abort;other","sediment trap","MooredSedTrap","A sediment trap moored at a specific depth in the water column, in a particular location."
"R2RE/1020","mooring","deploy;service;recover;startLine;endLine;abortLine;other","mooring","Mooring","A collection of devices, connected to a wire and temporarily anchored on the sea floor.  A mooring can be free floating or anchored for some days to weeks (short-time). Long-time moorings might be deployed for a maximum duration of two years."
"R2RE/9025","Motion Reference Unit","start;stop;fault;other","attitude sensor","MRU","Measures platform pitch, roll, heave, and heading"
"R2RE/9099","Seapath 320","start;stop;fault;other","attitude sensor","MRU","Kongsbergrecise Heading, Attitude and Positioning Sensor"
"R2RE/9061","Multi Corer","start;maxDepth;end;other","sediment corer","Multi-core","The Multi Corer is a benthic coring device used to collect multiple, simultaneous, undisturbed sediment/water samples from the seafloor.  Multiple coring tubes with varying sampling capacity depending on tube dimensions are mounted in a frame designed to sample the deep ocean seafloor. "
"L22/TOOL0384","Kongsberg (Simrad) EM 1002 multibeam echosounder","start;stop;abort;other","multibeam","Multibeam","A 95 kHz multibeam echosounder designed for use in water depths of up to 1000 m. The transducer array includes 111  beams with a 2 deg beam width. Across-track coverage is up to 1500 m and angular coverage is adjustable up to 190 deg. The instrument has pulse lengths of 0.2, 0.7 and 2 ms and a depth resolution of 1, 4 or 8 cm."
"L22/TOOL0385","Kongsberg (Simrad) EM 1002S multibeam echosounder","start;stop;abort;other","multibeam","Multibeam","A 95 kHz multibeam echosounder, this is the shallow-water version of the EM 1002. The transducer array includes 111 beams with a 2 deg beam width. Across-track coverage is limited to approximately 1000 m and angular coverage is adjustable up to 190 deg. The instrument has a single pulse length of 0.2 ms."
"L22/TOOL0386","Kongsberg (Simrad) EM 120 multibeam echosounder","start;stop;abort;other","multibeam","Multibeam","A low frequency (12 kHz) multibeam echosounder with full ocean depth capability. The transducer array includes 191 beams with angular coverage adjustable up to 150 deg and a swath width of up to 5.5 times water depth. The instrument has pulse lengths of 2, 5 and 15 ms and a depth resolution of 10 to 40 cm."
"L22/TOOL0492","Kongsberg EM 122 multibeam echosounder","start;stop;abort;other","multibeam","Multibeam","The Kongsberg (Simrad) EM 122 multibeam 12 kHz echsounder designed for high resolution seabed mapping. It uses both Continuous Wave (CW) and Frequency Modulated (FM) sweep pulses with pulse compression on reception in order to increase the maximum used swath width. This system has up to 288 beams/432 soundings per swath with pointing angles which are automatically adjusted according to achievable coverage or operator defined limits."
"R2RE/1029","Kongsberg (Simrad) EM 302 multibeam echosounder","start;stop;abort;other","multibeam","Multibeam","Designed to map almost all of the ocean floors excepting the deep trenches with an unsurpassed resolution and accuracy.  Replaces the EM 300 model.  Better for smaller vessels, and for sea depths of less than 2-3000m.  Scientists use the system to obtain detailed maps of the seafloor."
"R2RE/9091","Kongsberg EM EM710 multibeam echosounder","start;stop;abort;other","multibeam","Multibeam","Konsberg EM710 multibeam, scientist use the system to obtain detailed maps of the seafloor"
"L05/157","multi-beam echosounders","start;stop;abort;other","multibeam","Multibeam","multiple formed beam mapping sonar system"
"R2RE/1016","Sea Beam multibeam echosounder","start;stop;abort;other","multibeam","Multibeam","A multibeam echosounder is a device typically used by hydrographic surveyors to determine the depth of water and the nature of the seabed."
"L22/TOOL0198","Simrad EK-60 echosounder","start;stop;abort;other","multibeam","Multibeam","Simrad EK60 Scientific echo sounderMulti frequency application for species identification Simultaneous transmission of all frequencies"
"R2RE/9100","MC800 multicorer","deploy;maxDepth;recover;abort;other","sediment corer","Multicorer","Multi-Corer MC-800 comes complete with frame, spyder, 8 complete polycarbonate sample tubes and aluminum tube holders, lead weight mold"
"R2RE/1034","NOAA SCS data acquisition system","start;stop;service;other","dataacq system","NOAA SCS","NOAA SCS data acquisition system description goes here"
"R2RE/9082","Ocean Bottom Seismometer - unspecified type","deploy;recover;abort;other","seismometer","OBS","a self contained data-acquisition system which free falls to the ocean floor and records seismic data generated by airguns and earthquakes"
"R2RE/9107","Ocean Bottom Seismometer - SIO","deploy;recover;abort;other","seismometer","OBS_SIO","OBS from SIO"
"R2RE/9108","Ocean Bottom Seismometer - SIO Abalone","deploy;recover;abort;other","seismometer","OBS_SIOAbalone","OBS from SIO; Abalone type"
"R2RE/9109","Ocean Bottom Seismometer - OBSIP","deploy;recover;abort;other","seismic tool","OBS_WHOI","Seismometer from the OBSIP(Ocean Bottom Seismograph Pool)"
"R2RE/1022","Bird Observer","start;end;other","observer","ObserverBirds","Humans who estimate parameter(s) through observation of birds."
"R2RE/1023","Marine Mammal Observer","start;end;other","observer","ObserverMammals","Humans who estimate parameter(s) through observation of marine mammals."
"L22/TOOL0363","Teledyne RDI Ocean Surveyor 150kHz vessel-mounted ADCP","start;stop;service;other","","OS150 ADCP","The Teledyne RDI 150kHz Ocean Surveyor vessel-mounted acoustic Doppler current profiler is designed for continuous current profiling from a moving ship. "
"R2RE/1024","Other","start;end;other","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched."
"R2RE/9027","PCO2","start;stop;abort;other","dissolved gas sensor","PCO2","measures partial pressure of dissolved carbon dioxide"
"R2RE/9092","Kongsberg Topas PS18","start;stop;abort;other","sub-bottom profiler","PS18","Kongsberg TOPAS PS 18 parametric sub-bottom profilers comprises of the following:Transducer - 8 x 16 channels Transceiver U"
"L22/TOOL0080","Institute of Oceanographic Sciences psychrometer","start;stop;abort;other","meteorological device","Psychrometer","Psychrometer designed by Institute of Oceanographic Sciences (now National Oceanography Centre) to measure wet and dry bulb atmospheric temperature. The instrument consisted of two similar thermometers that were mounted side by side."
"L22/TOOL0082","Kipp and Zonen CM11 pyranometer","start;stop;abort;other","meteorological device","Pyranometer","A pyranometer that measures solar irradiance with a spectral response from 310-2800 nm. It is housed in a weatherproof titanium canister that has been painted with a very flat black paint that absorbs radiation. A small glass dome at the top of the instrument is allows light to enter the sensor."
"L22/TOOL0083","Eppley Precision Infrared Radiometer Pyrgyometer","start;stop;abort;other","meteorological device","Radiometer","The Eppley Precision Infrared Radiometer (PIR) pyrgyometer measures longwave (infrared) radiation. It is housed in a weatherproof titanium canister that has been painted with a very flat black paint that absorbs radiation."
"L05/122","radiometers","start;stop;abort;other","radiometer","Radiometer","measures radiation - pyranometer, pyrheliometer, pyrgeometer, albedometer, etc."
"L05/381","precipitation gauges","start;stop;abort;other","meteorological package","Raingauge","Instruments that measure either the rate of fall or integrated amount of rain, snow, sleet, hail or graupel."
"L22/NETT0147","Reeve net - Reeve (1981)","deploy;maxDepth;recover;abort;other","plankton net","ReeveNet","Conventional ring net with a very large acrylic cylindrical cod-end (30 liters) designed to collect fragile gelatinous animals. The net is lowered to a particular depth and then hauled slowly back to the surface (5-10 m/min). Reeve (1981)"
"R2RE/1026","Remus Authomomous Underwater Vehicle","start;end;other","underwater vehicle","REMUS","Remus make AUV of unknown model"
"L22/TOOL0266","Sea-Bird SBE 39 temperature recorder","deploy;recover;abort;other","temperature sensor","SBE 39","A high-accuracy temperature recorder (pressure optional) with internal battery and non-volatile memory for deployment at depths up to 10500 meters. It is intended for moorings or other long-term, fixed-site applications, as well as shorter-term deployments on nets, towed vehicles or ROVs."
"L22/TOOL0040","Sea-Bird SBE 25 Sealogger CTD","deploy;recover;abort;other","unknown","SBE25","A compact self-contained CTD comprising a conductivity sensor plumbed into a pumped water supply and separate pressure and temperature sensor modules. The whole unit is mounted in a stainless steel cage with a battery pack, data logger and memory."
"R2RE/1084","SeaFlow Flow Cytometer","start;sample;end;abort;other","pump system","SeaFlowCyto","SeaFlow measures phytoplankton in surface seawater from underway pump; by flow cytometry"
"L22/TOOL0474","Marine Magnetics SeaSPY Marine Magnetometer","deploy;revcover;abort;other","magnetometer","SeaSPY magnetometer","A marine magnetometer that measures the ambient magnetic field using a specialised branch of nuclear Magnetic Resonance technology applied to hydrogen nuclei. It uses an Overhauser sensor that allows omnidirectional data collection regardless of the direction of the ambient magnetic field."
"L05/51","unconsolidated sediment corers","start; maxDepth;end;other","sediment corer","SedimentCorer","Devices designed to collect samples of unconsolidated sediment from between the surface and depths from a metre to 10s of metres with minimal disturbance of the sediment structure."
"L05/33","sediment traps","deploy;recover;abort;other","sediment trap","SedimentTrap","Specially designed containers deployed in the water column for periods of time to collect particles from the water column falling toward the sea floor. "
"R2RE/1027","Academic Research Vessel","startCruise;endCruise;other","research vessel","Ship","Academic Research Vessel description goes here"
"L05/156","single-beam echosounders","start;stop;abort;other","singlebeam","SingleBeam","A generic term for a sonar that measures depth to seafloor or midwater reflectors - fathometer, fishfinder, etc."
"L22/TOOL0319","Kongsberg (Simrad) EA600 Echosounder","start;stop;abort;other","singlebeam","SingleBeam","The EA600 single beam echosounder operates up to four high power transceivers simultaneously. Available frequencies span from 12 to 710 kHz with a variable power output of up to 2 kW and a 160 dB dynamic range. The EA600 replaced the EA500 in 2000."
"R2RE/9065","Raytheon RD-500 Echo Sounder","start;stop;abort;other","singlebeam","SingleBeam","Operates at a frequency of 80 KHz, and is most effective in water depths less than 1000 m. The RD-500 can be used as a fish finder or to detect acoustic returns below the ship."
"R2RE/9054","Glider-Slocum","deploy;recover;abort;other","underwater vehicle","Slocum Glider","An underwater vehicle capable of moving to specific locations and depths occupying controlled spatial and temporal grids. Driven in a sawtooth verticle profile by variable buoyancy, the glider moves both horizontally and vertically carrying a wide variety of sensors."
"R2RE/9111","SOLO Float","deploy;recover;abort;other","drifter/float","SOLOFloat","SOLO Float"
"R2RE/9073","Surface Velocity Program Drifter","deploy;recover;abort;other","drifter/float","SVP drifter","Modern satellite-tracked surface drifting buoy (drifter).  The modern drifter is a high-tech version of the message in a bottle. It consists of a surface buoy and a subsurface drogue (sea anchor), attached by a long, thin tether."
"R2RE/1083","SVPlusV2","deploy;recover;other","unknown","SVPlusV2","AML SoundVelocity Plus internally recording"
"L22/TOOL0081","Vaisala HMP temperature and humidity sensor","start;stop;abort;other","meteorological device","Temp/Humidity Sensor","A family of sensors and instruments (sensors plus integral displays or loggers) for the measurement of air temperature and relative humidity. All are based on a probe containing a patent (HUMICAP) capacitive thin film polymer humidity sensor and a Pt100 platinum resistance thermometer."
"L22/TOOL0237","Waterproof thermometer","start;stop;abort;other","tempearture sensor","Thermometer","Instrument that measures water temperature"
"R2RE/1056","Sea-Bird SBE21 SeaCat thermosalinograph","start;end;abort;other","thermosalinograph","Thermosalinograph SBE21","The SBE 21 accurately determines sea surface temperature and conductivity from underway vessels. Data is simultaneously stored in memory and transmitted to a computer serial port, allowing independent data logging and real-time data acquisition."
"L22/TOOL0190","Sea-Bird SBE45 MicroTSG thermosalinograph","start;end;abort;other","thermosalinograph","Thermosalinograph SBE45","A small externally powered, high-accuracy instrument, designed for shipboard determination of sea surface (pumped-water) conductivity and temperature. May optionally be interfaced to an external SBE 38 hull temperature sensor."
"R2RE/9034","timeserver","start;end;abort;other","time device","Timeserver","Instrument that reads actual time from a reference clock (GPS, WWVB, etc) and distributes to clients via some sort of network."
"L22/TOOL0148","Unknown transmissometer","start;end;abort;other","transmissometer","Transmissometer","An in-situ instrument that transmits monochromatic light through a region of the surrounding water body and records how much is received by a sensor a fixed distance away."
"R2RE/9103","Trawl Winch with 680 cable","maxtensionWire;maxspeedWire;maxWireout;other","winch","Trawl Winch","Trawl Winch with 680 cable"
"R2RE/9104","Trawl Winch with 9/16 cable","maxtensionWire;maxspeedWire;maxWireout,other","winch","Trawl Winch","Trawl Winch with 9/16 cable"
"R2RE/9051","CTD TRIAXUS","start;end;abort;other","towed vehicle","Triaxus","Sea-bird SBE 9 pumped CTD attached to the Triaxus towed undulating platform designed for making quasi-synoptic, high-resolution, three-dimensional surveys of the upper ocean. Developed by the IOP lab at APL."
"L05/133","thermosalinographs","start;end;abort;other","thermosalinograph","TSG","Temperature and conductivity sensors mounted on a sea-surface platform continuously measuring a surface water supply."
"R2RE/1057","User Specified Instrument","start;end;abort;other","unknown","UserSpecified","Instrument that does not have a controlled vocabulary term"
"R2RE/9078","Vent camera","start;end;abort;other","cameras","VentCam","High speed video camera used for hydrothermal vent flow"
"R2RE/1028","Cabel Davis Video Plankton Recorder","deploy;maxDepth;recover;abort;other","plankton counter","VPR","The Video Plankton Recorder (VPR) is an underwater video microscope system that that takes images of plankton and particulate matter as small as 50 microns and up to a few centimeters in size."
"R2RE/9102","Winch - Hydrographic","maxtensionWire;maxspeedWire;maxWireout;other","Winch","winchHydro","Hydrographic Winch with .322 cable"
"R2RE/9037","Winch - UNOLS Pool","maxtensionWire;maxspeedWire;maxWireout;other","Winch","Winch","UNOLS Winch Pool Winch goes here"
"L22/TOOL0262","Lockheed Martin Sippican T-5 XBT probe","release;other","bathythermograph","XBT","An expendable free-fall temperature probe that provides a profile of measured temperature against depth calculated from a fall-rate model. The T-5 XBT Probe can be used within a maximum depth of 1830m, may be deployed at a ship speed of up to 6 knots and has a vertical resolution of 65cm."
"L22/TOOL0263","Lockheed Martin Sippican T-7 XBT probe","release;other","bathythermograph","XBT","An expendable free-fall temperature probe that provides a profile of measured temperature against depth calculated from a fall-rate model. The T-7 XBT Probe can be used within a maximum depth of 760m, may be deployed at a ship speed of up to 15 knots and has a vertical resolution of 65cm."
"R2RE/9040","Lockheed Martin Sippican XBT Fast Deep probe","release;other","bathythermograph","XBT","An expendable free-fall temperature probe that provides a profile of measured temperature against depth calculated from a fall-rate model.  Provides the maximum depth capabilities at the highest possible ship speed of any XBT."
"R2RE/1031","XBT","release;other","bathythermograph","XBT","An Expendable Bathythermograph (XBT) used to obtain information on the temperature structure of the ocean to depths of up to 1500 meters."
