"entrykey";"entryterm";"entrytermabbr";"entrytermdef";"entrytermlastmod"
"L05/155";"seismic refraction systems";"";"A network of seismometers or geophones plus an energy source that determine geologic structure by detecting waves refracted by subsurface layers.";"2007-11-20"
"L05/156";"single-beam echosounders";"";"Instruments that measure water depth at a single point below the platform by timing pulses of sound reflected on the seafloor.";"2013-02-26"
"L05/157";"multi-beam echosounders";"";"Instruments that measure water depth along several tracks parallel to the platform track by timing pulses of sound reflected on the seafloor.";"2013-02-26"
"L05/158";"gravimeters";"";"Instrument that makes measurements of the Earth's gravity field.";"2013-02-26"
"L05/159";"magnetometers";"";"Instrument that makes measurements of the Earth's magnetic field.";"2013-02-26"
"L05/180";"underwater cameras";"";"All types of photographic equipment that may be deployed underwater including stills, video, film and digital systems.";"2013-02-26"
"L05/181";"nutrient analysers";"";"Instrument that makes in-situ measurements of one or more of nitrate, nitrite, ammonium, urea, phosphate or silicate dissolved in the water column.";"2013-02-26"
"L05/182";"inapplicable";"";"There is no appropriate value. To be used in cases where metadata elements cannot be set null due to schema constraints.";"2011-08-26"
"L05/183";"acoustic backscatter sensors";"";"Instrument that measures the amount of sound energy transmitted into the water column returned to the instrument.";"2007-11-20"
"L05/184";"microstructure sensors";"";"Fast response sensors sampled at high frequency to determine the distribution of water body properties on a millimetric scale.";"2012-02-23"
"L05/185";"sound velocity sensors";"";"Instrument that measures the velocity of sound in seawater.";"2013-02-26"
"L05/186";"radar altimeters";"";"Instruments that determine the distance between the platform and the Earth's surface by timing reflected electromagnetic radiation, usually microwaves.";"2011-04-15"
"L05/21";"plankton recorders";"";"A device that continuously samples a flow of water, separating and fixing plankton for subsequent identification and counting.";"2013-02-26"
"L05/22";"plankton nets";"";"A fine-meshed net designed for sampling microzooplankton, mesozooplankton or nekton.";"2007-11-20"
"L05/23";"pelagic trawl nets";"";"A net towed through the water column designed to sample free-swimming nekton or fish.";"2007-11-20"
"L05/24";"benthos samplers";"";"A net or sledge dragged across the seabed designed to sample benthic fauna.";"2007-11-20"
"L05/30";"discrete water samplers";"";"A device that collects an in-situ discrete water sample from any depth and returns it to the surface without contamination by the waters through which it passes, such as a water bottle.";"2013-02-26"
"L05/301";"satellite positioning systems";"";"A network of statellites that generate signals that allow a receiver to determine its position such as GPS.";"2007-11-20"
"L05/302";"water body temperature sensor";"";"Sensors that measure the intensity and nature of electromagnetic radiation emitted from the Earth in a manner optimised for the determination of water body surface temperature.";"2010-11-19"
"L05/303";"surface current radars";"";"Instruments that measure the speed and direction of sea surface travel by timing reflected radio waves.";"2013-02-26"
"L05/304";"ocean colour radiometers";"";"Sensors that measure the intensity and nature of electromagnetic radiation in a manner optimised for the determination of ocean chlorophyll concentration.";"2008-01-10"
"L05/305";"scatterometers";"";"Sensors that measure the reflection or scattering effect produced while scanning the surface of the earth. Primarily used to measure near surface winds over the oceans.";"2007-11-20"
"L05/306";"synthetic aperture radars";"";"Instruments that generate maps of radar reflectivity through the synthesis of multiple pulses from a moving platform.";"2008-01-10"
"L05/307";"accelerometers";"";"Instruments that measure non-gravitational accelerations acting upon a spacecraft.";"2008-01-10"
"L05/308";"atmospheric radiometers";"";"Sensors that measure the intensity an nature of electromagnetic radiation in a manner optimised for the quantification of atmospheric phenomena.";"2008-01-10"
"L05/309";"terrestrial radiometers";"";"Sensors that measure the intensity and nature of electromagnetic radiation in a manner optimised for the quantification of terrestrial phenomena.";"2008-01-10"
"L05/31";"continuous water samplers";"";"A device that continuously supplies a flow of water either to an analytical instrument, over a sensor or from which samples may be drawn.";"2013-02-26"
"L05/310";"laser altimeters";"";"Instruments that determine the distance between the platform and the Earth's surface by timing reflected pulses of laser light.";"2012-12-18"
"L05/311";"cameras";"";"All types of photographic equipment that may be deployed in aircraft or satellites including stills, video, film and digital systems.";"2008-01-10"
"L05/312";"bathymetric LiDARs";"";"Instruments that measure the depth of a water body by determining the distances from the platform to the surface and the bed by timing reflected pulses of laser light.";"2009-10-16"
"L05/313";"bird detection radars";"";"X-band and S-band radar systems developed for the detection, tracking and counting of birds in flight.";"2013-02-26"
"L05/32";"particulates samplers";"";"A system that collects samples of water column particulates such as in-situ high volume filtration systems liks SAPs.";"2007-11-20"
"L05/33";"sediment traps";"";"A collector of particulates as they sink through the water column.";"2013-02-26"
"L05/350";"salinity sensor";"";"Instrument that simultaneously measures electrical conductivity and temperature in the water column to provide temperature and salinity data.";"2013-02-26"
"L05/351";"dissolved gas sensors";"";"Instrument that measures the concentration of gases, generally oxygen, dissolved in the water column.";"2013-02-26"
"L05/352";"plankton counters";"";"Instruments that categorise and count plankton in the water column.";"2013-02-26"
"L05/353";"active fluorometers";"";"Fluorometers that measure photosynthetic parameters by taking measurements whilst manipulating the phytoplankton with controlled high-intensity illumination such as pump and probe and FRRF.";"2013-02-26"
"L05/354";"expendable CTDs";"";"Instruments that measure vertical profiles of sea temperature and salinity with a free falling disposable temperature and conductivity sensor package.";"2007-11-20"
"L05/355";"pH sensors";"";"Instruments that measure the hydrogen ion concentration in the water column.";"2013-02-26"
"L05/356";"redox potential sensors";"";"Instruments that measure the tendency of the water column to either gain or lose electrons when it is subject to change by introduction of a new species.";"2013-02-26"
"L05/357";"acoustic tracking systems";"";"A network of acoustic sensors that determine the location of a sound source by triangulation such as acoustically active float tracking systems.";"2011-02-02"
"L05/358";"bubble detectors";"";"Instruments that measure the concentration and size of air bubbles in the water column.";"2008-01-10"
"L05/359";"plummets";"";"Devices comprising a weight attached to the end of a graduated rope used to measure point water depths.";"2010-02-19"
"L05/360";"piezometers";"";"Devices that measure fluid  (air, gas, water, or oil) pressure within soil, sediment, rock or concrete providing information such as water table level in an aquifer system.";"2010-02-19"
"L05/361";"penetrometers";"";"Dynamic or passive devices that determine the consistency or hardness of soil or sediment by measuring the depth or rate of penetration of a needle or cone rig into it when a known force is applied.";"2010-02-19"
"L05/362";"250 Hz top-bandwidth single-channel seismic reflection systems";"";"An energy source with a frequency up to 250 Hz (sampling interval ranging from 2-8 msec) plus a single string of towed hydrophones (streamer) that determine geologic structure by detecting waves reflected by subsurface layers.";"2010-02-19"
"L05/363";"1000 Hz top-bandwidth single-channel seismic reflection systems";"";"An energy source with a frequency up to 1000 Hz (sampling interval ranging from 2-0.5 msec) plus a single string of towed hydrophones (streamer) that determine geologic structure by detecting waves reflected by subsurface layers.";"2010-02-19"
"L05/364";"1000 Hz top-bandwidth multi-channel seismic reflection systems";"";"An energy source with a frequency up to 1000 Hz (sampling interval ranging from 2-0.5 msec) plus a multiple strings of towed hydrophones (streamers) that determine geologic structure by detecting waves reflected by subsurface layers.";"2010-02-19"
"L05/365";"2000 Hz top-bandwidth multi-channel seismic reflection systems";"";"An energy source with a frequency up to 2000 Hz (sampling interval ranging from 0.5-0.25 msec) plus a multiple strings of towed hydrophones (streamers) that determine geologic structure by detecting waves reflected by subsurface layers.";"2010-02-19"
"L05/366";">2000 Hz top-bandwidth multi-channel seismic reflection systems";"";"An energy source with a frequency up to >2000 Hz (sampling interval lower than 0.25 msec) plus a multiple strings of towed hydrophones (streamers) that determine geologic structure by detecting waves reflected by subsurface layers.";"2010-02-19"
"L05/367";">2000 Hz top-bandwidth sub-bottom penetrator and mud profiler systems";"";"Devices that provide information on unconsolidated sediment structure through transmission and reception of an energy source with a frequency corresponding to a sampling interval lower than 0.25 msec.";"2010-11-18"
"L05/368";"seismometers";"";"Devices placed on the ground or seabed to measure physical movement of that substrate.";"2010-02-19"
"L05/369";"hydrophones";"";"Devices containing transducers that convert underwater sound waves into electrical signals.";"2010-02-19"
"L05/370";"geothermometers";"";"Instruments carrying a sensor that determines the temperature (degree of hotness) within geological units.";"2010-11-18"
"L05/371";"60 Hz top-bandwidth single-channel seismic reflection systems";"";"An energy source with a frequency up to 60 Hz (sampling interval higher than 8 msec) plus a single string of towed hydrophones (streamer) that determine geologic structure by detecting waves reflected by subsurface layers.";"2010-02-19"
"L05/372";"2000 Hz top-bandwidth single-channel seismic reflection systems";"";"An energy source with a frequency up to 2000 Hz (sampling interval ranging from 0.5-0.25 msec) plus a single string of towed hydrophones (streamer) that determine geologic structure by detecting waves reflected by subsurface layers.";"2010-02-19"
"L05/373";">2000 Hz top-bandwidth single-channel seismic reflection systems";"";"An energy source with a frequency up to >2000 Hz (sampling interval lower than 0.25 msec) plus a single string of towed hydrophones (streamer) that determine geologic structure by detecting waves reflected by subsurface layers.";"2010-02-19"
"L05/374";"60 Hz top-bandwidth multi-channel seismic reflection systems";"";"An energy source with a frequency up to 60 Hz (sampling interval higher than 8 msec) plus a multiple strings of towed hydrophones (streamers) that determine geologic structure by detecting waves reflected by subsurface layers.";"2010-02-19"
"L05/375";"250 Hz top-bandwidth multi-channel seismic reflection systems";"";"An energy source with a frequency up to 250 Hz (sampling interval ranging from 2-8 msec) plus a multiple strings of towed hydrophones (streamers) that determine geologic structure by detecting waves reflected by subsurface layers.";"2010-02-19"
"L05/376";"sediment surface markers";"";"Physical markers that allow changes in the position of the boundary between sediment and air or water by visible comparison against marked graduations in units of measurement of dimension length.";"2010-04-22"
"L05/377";"water level markers";"";"Fixed physical markers that allow changes in the position of the boundary between a water body and the atmosphere by visible comparison against marked graduations in units of measurement of dimension length.";"2010-04-22"
"L05/378";"sediment profile imagers";"";"Devices that provide in-situ still or video images of a section including bottom water, the undisturbed sediment-water interface and the upper sediment layers.";"2010-04-22"
"L05/379";"altimeters";"";"Instruments that measure their distance above a specified elevation such as the sea surface or the seabed. Classification includes acoustic and pressure-based instruments that are designed to provide platform z co-ordinate spatial coverage in the atmosphere or a water body. It excludes remote sensing instruments such as LIDAR and satellite radar altimeters designed to map surface elevation.";"2012-12-18"
"L05/380";"submarine cables";"";"Electrical conductors routed beneath the sea and connecting land stations.  Oceanographic interest focuses on changes in electrical resistance that may be related to the magnitude of Lagrangian currents.";"2010-09-15"
"L05/381";"precipitation gauges";"";"Instruments that measure either the rate of fall or integrated amount of rain, snow, sleet, hail or graupel.";"2010-09-15"
"L05/382";"atmospheric gas analysers";"";"In-situ instruments that can determine the proportion of one or more gaseous components of the atmosphere.";"2010-09-15"
"L05/383";"metal analysers";"";"In-situ instruments that can determine the total, dissolved or particulate concentration of one or more metallic elements (including trace metalloids like arsenic) in a water body.";"2010-09-15"
"L05/384";"ADVs and turbulence probes";"";"ADV is the acronym for acoustic doppler velocimeter. The group includes all in-situ instruments that make high frequency measurements of three-dimensional current velocity in order to determine the extent of turbulence within a water body.";"2010-09-15"
"L05/385";"platform attitude sensors";"";"Instruments that measure platform orientation or rates of platform motion or acceleration in any direction or along any axis. Excludes inertial navigation systems that are designed to determine platform location with respect to an external co-ordinate reference system.";"2010-09-15"
"L05/386";"Aerosol physical characterisers";"";"Instruments that determine physical attributes such as size and abundance of atmospheric aerosols.";"2010-10-01"
"L05/387";"Aethalometers";"";"Instruments that quantify atmospheric particulate carbon ('black carbon') concentrations.";"2010-10-01"
"L05/388";"flow meters";"";"Sensors that quantify the rate at which fluids (e.g. water or air) pass through sensor packages, instruments or sampling devices.";"2011-05-20"
"L05/50";"sediment grabs";"";"A device that collects a sample of surface sediment including manually deployed equipment like a shovel or bucket.";"2007-11-20"
"L05/51";"unconsolidated sediment corers";"";"Devices designed to collect samples of unconsolidated sediment from between the surface and depths from a metre to 10s of metres with minimal disturbance of the sediment structure.";"2010-07-20"
"L05/52";"sediment porewater samplers";"";"A device that collects samples of pore water from various horizons below the seabed.";"2007-11-20"
"L05/53";"rock corers";"";"A device that drills into rock extracting a cylindrical sample.";"2013-02-26"
"L05/54";"rock dredges";"";"A device dragged across the seabed designed to collect loose rock samples.";"2007-11-20"
"L05/55";"sediment settling tubes";"";"A specialised water bottle that both collects water samples and provides a settling velocity experiment apparatus.";"2007-11-20"
"L05/56";"snow and ice samplers";"";"A device that collects a sample of frozen seawater or accumulated frozen precipitation.";"2013-02-26"
"L05/57";"manual rock samplers";"";"A simple tool like a hammer, saw or even just a hand for the collection of rock samples.";"2013-02-26"
"L05/58";"continuous air samplers";"";"A device that continuously supplies a flow of air either to an analytical instrument, over a sensor or from which discrete samples may be drawn.";"2013-02-26"
"L05/59";"sampling extent markers";"";"Devices that label the region within which sampling is to be confined such as permanent quadrants and location markers.";"2010-04-22"
"L05/60";"sediment dredges";"";"Bucket-like containers hauled over the sea bed collecting integrated samples of surface sediment along a segment of ship track.";"2010-07-20"
"L05/61";"demersal trawl nets";"";"Nets towed over the sea floor designed to sample species living on or near the bottom.";"2010-07-30"
"L05/62";"beam trawls";"";"Nets towed over the sea floor having the horizontal net opening provided by a wooden or metal beam that disrupts the surface of the bed.";"2010-07-30"
"L05/63";"passive fishing gear";"";"Apparatus where capture is based on the movement of the target species towards the gear (e.g. creels and fish traps).";"2010-07-30"
"L05/64";"active fishing gear";"";"Apparatus where capture is based on chasing the target species (e.g. a trawl).";"2010-07-30"
"L05/65";"gill nets";"";"Nets drifting in the sea or standing on the sea floor in which fish become entangled, usually through their gill covers.";"2011-08-26"
"L05/66";"flushing drills";"";"Devices primarily designed to drill wells through sediment or rock that flush the drill spoil back to the surface where it is examined to provide lithological data through the process known as mud logging.";"2011-08-26"
"L05/67";"high-speed plankton samplers";"HSS";"A fine-meshed net or filter towed behind a moving vessel that collects a single sample for a tow. Samples microzooplankton, mesozooplankton and nekton.";"2011-11-25"
"L05/68";"multinet";"";"A system comprising several nets that can be opened and closed sequentially to collect a series of samples during a tow or haul. Samples microzooplankton, mesozooplankton and nekton.";"2011-11-25"
"L05/69";"neuston net";"";"A fine-meshed net designed to collect samples living within a few centimetres of the sea surface. Samples microzooplankton, mesozooplankton and nekton.";"2011-11-25"
"L05/81";"shipboard incubators";"";"A device mounted on a ship that holds water samples under conditions of controlled temperature or controlled temperature and illumination.";"2008-01-10"
"L05/82";"in-situ incubators";"";"A rig that allows water samples to be retained from where they were collected whilst physically separated from their surroundings.  Includes small-scale incubation rigs and mesocosms.";"2008-01-10"
"L05/83";"centrifuges";"";"Devices that separate the liquid and solid phases of a sample through forces exerted by rapid rotation.";"2013-02-26"
"L05/84";"sieves and filters";"";"Devices that separate solid particles larger than a particular size from a sample collected by another device that is a suspension of solid particles in a liquid or gas.";"2013-02-26"
"L05/85";"biorectors and chemostats";"";"Devices in which controlled conditions are maintained for a chemical process to be carried out by organisms or biochemically active substances derived from such organisms.";"2012-08-02"
"L05/90";"manual biota samplers";"";"A simple tool like a hammer, saw or even just a hand for the collection of biota samples.";"2013-02-26"
"L05/91";"observers";"";"Humans who estimate a parameter through observation of a phenomenon such as bird counts and visual wave observations.";"2013-02-26"
"L05/999";"unknown";"";"The correct value is not known to and not computable by the creator of this information. However a correct value probably exists.";"2007-11-20"
"L05/AQPL";"Aquapulse";"";"A marine seismic source where a propane-oxygen mixture is exploded inside a steel cylinder.";"2010-10-18"
"L05/ARAG";"airgun array";"";"A marine seismic source where multiple airguns of different sizes are tuned so that  a broader frequency spectrum will be generated.";"2010-10-18"
"L05/ATRANS";"atmospheric transparency quantifiers";"";"Instruments that quantify the degree of scattering and absorption of light passing through the atmosphere, including instruments that quantify aerosol and particulate concentrations (e.g. black carbon) and instruments measure meteorological visibility.";"2013-04-23"
"L05/BOMR";"Boomer";"";"A marine seismic energy source in which capacitors are charged to high voltage and then discharged through a transducer in the water. The transducer consists of a flat coil with a spring-loaded aluminium plate. Eddy currents force the plates to separate sharply, producing a low pressure region between the plates into which the water rushes generating a pressure wave by implosion.";"2010-10-18"
"L05/CCOV";"cloud cover quantifiers";"";"Instruments that measure the proportion of the sky covered by cloud (cloud amount) and/or the height of the cloud above the ground (cloud base).";"2013-04-23"
"L05/CHRP";"Chirp";"";"Chirp systems emit a 'swept-frequency signal', meaning that the transmitted signal is emitted over a period of time and over a set range of frequencies. This repeatable (transmitted) waveform can be varied in terms of pulse length, frequency bandwidth, and phase/amplitude. A matched filter, or correlation process, collapses the swept frequency modulated (FM) received signal into a pulse of short duration, maximizing the signal-to-noise-ratio. The reflected signal is received by a tuned transducer array that generates the outgoing acoustic energy. Chirps operate within a range of 400Hz - 24 kHz and are used for the first 20-30 metres of unconsolidated sediments.";"2010-10-18"
"L05/CSEM";"controlled-source elecromagnetic systems";"CSEM";"Systems that measure sub-surface resistivity structure through the measurement of the electromegnetic fields resulting from stimulation by a towed source.  Includes systems incorporating both transmitter and receiver and systems where the transmitter and receiver are separate.";"2011-09-16"
"L05/EMSR";"elecromagnetic sensors";"";"In-situ sensors that simultaneuously measure electrical and magnetic fields.  They are usually moored on the seabed for long periods of time for determination of deep structure through monitoring magnetotelluric currents.  However, some may also be configured to be receivers for active electromagnetic surveys such as CSEM.";"2011-09-16"
"L05/EQUIL";"equilibrators";"";"Devices in which samples and carriers are brought into chemical equilibrium prior to analysis. For example, a shower head or tower full of marbles used to equilibrate water samples with air that is subsequently analysed for carbon dioxide to give pCO2 in the water sample.";"2013-04-23"
"L05/ERTQ";"earthquake";"";"A sudden release of stress in the Earth's crust that creates energy in the form of seimic waves.";"2010-10-18"
"L05/EXHL";"high resolution low penetration explosives";"";"Groups all explosives that allows high resolution but low penetration surveys.";"2013-02-26"
"L05/EXLH";"high penetration low resolution explosives";"";"Groups all explosives that allows high penetration but low resolution surveys.";"2013-02-26"
"L05/FFES";"Fish-finder echosounders";"";"Instruments primarily designed to detect shoals of fish through transmission and reception of acoustic signals.  They are often optimised for this purpose through the use of multiple frequencies.";"2011-11-26"
"L05/FLXS";"Flexichoc";"";"An implosive energy source for marine shooting. Two plates are separated by compressed air until they lock into position. The air between them is then pumped out creating a vacuum. On the signal the plates are unlocked and the water pressure forces them together creating a shock wave in the water.";"2010-10-18"
"L05/FLXT";"Flexotir";"";"A seismic method for marine shooting whereby small charges are propelled through a rubber hose by water under pressure into a steel cage where they are detonated. Holes in the cage allow the water repelled by the explosion to flow out and in thus dissipating some of the energy in the bubble effect.";"2013-02-26"
"L05/GIAG";"GI-gun";"";"A marine seismic source where a pair of conventional airguns (one, the generator, fires in the conventional manner; the second, known as the injector) fires some milliseconds later to prevent bubble from collapsing. Could be used in true GI mode (volume of injector twice of volume of generator), harmonic mode (same volume of generator and injector) or true airgun (no delay between generator and injector).";"2010-10-18"
"L05/ICEP";"ice thickness profilers";"";"Instruments that measure the freeboard, draught or thickness of ice sheets or sea ice. These are not to be confused with tethered ice profilers that are platforms that sample the water column beneath sea ice.";"2013-04-23"
"L05/LAB01";"elemental analysers";"";"Instruments that quantify carbon, nitrogen and sometimes other elements by combusting the sample at very high temperature and assaying the resulting gaseous oxides. Usually used for samples including organic material.";"2008-01-10"
"L05/LAB02";"gas chromatographs";"";"Instruments separating gases, volatile substances or substances dissolved in a volatile solvent by transporting an inert gas through a column packed with a sorbent to a detector for assay.";"2008-01-10"
"L05/LAB03";"colorimeters";"";"Instruments measuring the amount of light of a given wavelength absorbed by a sample of solution to determine the concentration of a specific coloured solute.";"2008-01-10"
"L05/LAB04";"autoanalysers";"";"Instruments that continuously draw samples through plumbing adding reagents whilst controlling the environment to produce a chemical reaction before passing the sample to a detector, e.g. the automated colorimetric determination of nutrients.";"2008-01-10"
"L05/LAB05";"optical microscopes";"";"Instruments that generate enlarged images of samples using the phenomena of reflection and absorption of visible light. Includes conventional and inverted instruments.";"2008-01-10"
"L05/LAB06";"fluorescence microscopes";"";"Instruments that generate enlarged images of samples using the phenomena of fluorescence and phosphorescence instead of, or in addition to, reflection and absorption of visible light. Includes conventional and inverted instruments.";"2008-01-10"
"L05/LAB07";"electron microscopes";"";"Instruments that generate enlarged images of samples using the phenomena of reflection and absorption of electrons behaving as waves.";"2008-01-10"
"L05/LAB08";"electron microprobes";"";"Instruments that chemically analyse a small area of a sample by bombarding it with electrons and spectroscopically assaying the resulting X-Ray emissions.";"2008-01-10"
"L05/LAB09";"ion microprobes";"";"Instruments that isotopically analyse a small area of sample by bombarding it with ions to form a plasma that is analysed in a mass spectrometer.";"2008-01-10"
"L05/LAB10";"atomic absorption spectrometers";"";"Instruments that volatilise the sample, illuminate the resultant vapour with light wavelengths matched to the analyte of interest and quantify the radiation absorbed, which is proportional to concentration.";"2008-01-10"
"L05/LAB11";"high performance liquid chromatographs";"";"Instruments that separate and analyse mixtures of substances by high pressure pumping the sample through a column packed with microspheres coated with the stationary phase.";"2008-01-10"
"L05/LAB12";"titrators";"";"Instruments that incrementally add quantified aliquites of a reagent to a sample until the end-point of a chemical reaction is reached.";"2008-01-10"
"L05/LAB13";"balances and scales";"";"Devices that determine the mass or weight of a sample.";"2010-07-02"
"L05/LAB14";"inductively-coupled plasma atomic emission spectroscopes";"";"Instruments that pass nebulised samples into an inductively-coupled gas plasma (8-10000 K) where they are atomised and excited. The de-excitation optical emissions at characteristic wavelengths are spectroscopically analysed.";"2008-01-10"
"L05/LAB15";"inductively-coupled plasma mass spectrometers";"";"Instruments that pass nebulised samples into an inductively-coupled gas plasma (8-10000 K) where they are atomised and ionised. Ions of specific mass-to-charge ratios are quantified in a quadrupole mass spectrometer.";"2008-01-10"
"L05/LAB16";"mass spectrometers";"";"Instruments used to measure the mass-to-charge ratio of ions most generally used to find the composition of a sample by generating a mass spectrum representing the masses of sample components.";"2008-01-10"
"L05/LAB17";"accelerator mass spectrometers";"";"Instruments measuring the mass-to-charge ratio of the products of sample molecule disassociation, atom ionisation and ion acceleration in a particle accelerator.";"2008-01-10"
"L05/LAB18";"nuclear magnetic resonance spectrometers";"";"Instruments that identify and quantify magnetically active chemical entities by subjecting a sample to orthogonal magnetic and electrical fields.";"2008-01-10"
"L05/LAB19";"gas chromatograph mass spectrometers";"";"Instruments separating gases, volatile substances or substances dissolved in a volatile solvent by transporting an inert gas through a column packed with a sorbent to a detector for assay by a mass spectrometer.";"2008-01-10"
"L05/LAB20";"spectrophotometers";"";"Instruments measuring the relative absorption of electromagnetic radiation of different wavelengths in the near infra-red, visible and ultraviolet wavebands by samples.";"2011-04-15"
"L05/LAB21";"liquid scintillation counters";"";"Instruments assaying beta radiation by quantitative detection of visible light produced by the passage of rays or particles through a suitable scintillant incorporated into the sample.";"2008-01-10"
"L05/LAB22";"gamma-ray spectrometers";"";"Instruments measuring the relative levels of electromagnetic radiation of different wavelengths in the gamma-ray waveband.";"2011-04-15"
"L05/LAB23";"bench fluorometers";"";"Instruments that determinesthe amount of chlorophyll in in-vitro samples by measuring the quantity of red light (around 685nm) emitted following excitation by pulses of blue light (around 460-470nm).";"2008-01-10"
"L05/LAB24";"gel permeation chromatographs";"";"Instruments that separate components in aqueous or organic solution based on molecular size generally for molecular weight determination.";"2008-01-10"
"L05/LAB25";"X-ray fluorescence analysers";"";"Instruments that identify and quantify the elemental constituents of a sample from the spectrum of electromagnetic radiation emitted by the atoms in the sample when excited by X-ray radiation.";"2008-01-10"
"L05/LAB26";"X-ray diffractometers";"";"Instruments that identify crystalline solids by measuring the characteristic spaces between layers of atoms or molecules in a crystal.";"2008-01-10"
"L05/LAB27";"particle sizers";"";"Instruments that measure the size spectrum of particulate material suspended in a water sample.";"2008-01-10"
"L05/LAB28";"thermal conductivimeters";"";"Laboratory instruments that determine the thermal conductivity of rock or sediment samples (including unopened cores).";"2010-02-19"
"L05/LAB29";"rulers";"";"Devices that allow one or more physical dimensions of a sample or specimen to be determined by visible comparison against marked graduations in units of measurement of dimension length.";"2010-04-22"
"L05/LAB30";"salinometers";"";"Instruments that measure the salinity of a collected water sample by comparing its electrical conductivity with that of a standard sea water solution.";"2010-09-15"
"L05/LAB31";"magnetic susceptibility systems";"";"Sensors, probes and meters that measure the degree to which a sample or part thereof is influenced by a magnetic field.";"2013-02-26"
"L05/LAB32";"acoustic velocity systems";"";"Instruments that measure the speed or velocity of sound, including P-waves, in samples of solids, liquids or gases.";"2013-02-26"
