CruiseID,DeviceID,DeviceTerm,DeviceCatID,DeviceCatTerm,DefaultInstrumentTerm,DeviceDescription,AttrNameUsed,ActionsUsed,State
EN502,"L221/TOOL0130","Simrad EA500 echosounder","L05/156","single-beam echosounders","Echosounder12","A single-beam, single-frequency (12kHz) deep water echosounder, with a maximum power of 2kW, 160dB dynamic range and Transducer 12-16-60 (16 degree circular, 60 degree passive beams). It was introduced in June 1989 and and replaced by the EA 600 in 2000.","Echosounder12","startLine;endLine;abortLine","0"
EN502,"R2RE/1003","Generic ADCP75","L05/115","current profilers","ADCP75","Generic ADCP-75 description goes here","ADCP75","start;stop;service;other","0"
EN502,"R2RE/1005","Generic ADCP300","L05/115","current profilers","ADCP300","A Doppler velocity log (DVL) measuring bottom track and water track velocities, altitude, heading, tilt, temperature, echo intensity, pressure and current velocities. 300kHz Broadband signal processing gives high data resolution and a four-beam solution gives an independent error velocity measurement as an indicator of data quality. It has a bottom track range of 200m and velocity accuracy for both bottom and water track modes is 0.4% of the velocity, ±0.2cm/s. The instrument operates effectively over a temperature range of -5°C to 45°C and with a tilt of up to ±15 deg.","ADCP300","star;stop;service;other","0"
EN502,"L221/TOOL0190","Sea-Bird SBE45 MicroTSG thermosalinograph","L05/133","thermosalinographs","Thermosalinograph","A small externally powered, high-accuracy instrument, designed for shipboard determination of sea surface (pumped-water) conductivity and temperature. It is constructed of plastic and titanium to ensure long life with minimum maintenance. It may optionally be interfaced to an external SBE 38 hull temperature sensor.","Thermosalinograph SBE45","start;stop;other;","0"
EN502,"R2RE/1015","Generic Meterological Sensor","L05/102","meteorological packages","MeterologicalSensor","Generic Meterological Sensor description goes here","MeteorologicalSensor","startLine;endLine;abortLine;sampleLine","0"
EN502,"R2RE/9018","fluorometer r2r_devtype","L05/113","fluorometers","Fluorometer","measures fluorescence (usually for phytoplankton)","Fluorometer","startLine;endLine;abortLine;sampleLine","0"
EN502,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","Other","start;end","0"
EN513,"L221/TOOL0058","Sea-Bird SBE 911plus CTD","L05/130","CTD profilers","CTD911","High precision and accuracy CTD comprising an SBE 9plus underwater unit (SBE 3 temperature and SBE 4 conductivity sensors) and an SBE 11plus deck unit. Sensors may be connected to a pump-fed plastic tubing circuit (usually temperature, salinity and oxygen) or stand-alone. All instruments (8 channels available) on the package are logged by the SBE 11. The unit is the production off the shelf version of the SBE 911 (each 911 was custom built to individual specification).","CTD911","deploy;maxDepth;recover;abort;other","0"
EN513,"R2RE/1057","sediment trap","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","ISP","deploy;recover;abort;other","MODIFIED"
EN513,"R2RE/1057", "a net trap system", "R2RE/1010", "user specified", "UserSpecified", "Instrument that does not have a controlled vocabulary term", "netTrap", "deploy;recover;abort;other", "MODIFIED"
EN513,"R2RE/1057","plankton tow CTD","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","planktonTowCTD","start;end;abort;other","MODIFIED"
EN513,"R2RE/1057","sediment trap mooring","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","sedTrapMooring","deployStart;deployEnd;recoveryStart;recoveryEnd;other","MODIFIED"
EN513,"R2RE/1057","generic sediment coring device","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","sedimentCorer","deploy;recover;abort;other","MODIFIED"
EN513,"R2RE/1027","Academic Research Vessel","R2RE/1006","research vessel","Ship","Academic Research Vessel description goes here","Ship","startCruise;endCruise;other","MODIFIED"
EN513,"R2RE/1003","Generic ADCP75","L05/115","current profilers","ADCP75","An Acoustic Doppler Current Profiler, or Acoustic Doppler Profiler, is often referred to with the acronym ADCP. Scientists use the instrument to measure how fast water is moving across an entire water column. An ADCP anchored to the seafloor can measure current speed not just at the bottom, but also at equal intervals all the way up to the surface. The instrument can also be mounted horizontally on seawalls or bridge pilings in rivers and canals to measure the current profile from shore to shore, and to the bottoms of ships to take constant current measurements as the boats move. In very deep areas, they can be lowered on a cable from the surface.  The ADCP measures water currents with sound (75kHz), using a principle of sound waves called the Doppler effect.","ADCP75","start;stop;service;other","0"
EN513,"R2RE/1005","Generic ADCP300","L05/115","current profilers","ADCP300","A Doppler velocity log (DVL) measuring bottom track and water track velocities, altitude, heading, tilt, temperature, echo intensity, pressure and current velocities. 300kHz Broadband signal processing gives high data resolution and a four-beam solution gives an independent error velocity measurement as an indicator of data quality. It has a bottom track range of 200m and velocity accuracy for both bottom and water track modes is 0.4% of the velocity, ±0.2cm/s. The instrument operates effectively over a temperature range of -5°C to 45°C and with a tilt of up to ±15 deg.","ADCP300","start;stop;service;other","MODIFIED"
EN513,"R2RE/9039","generic 3.5kHz echosounder","L05/156","single-beam echosounders","Echosounder3.5","3.5 kHz echosounder of unknown make/model","Echosounder3.5","startLine;endLine;abortLine","0"
EN513,"L221/TOOL0190","Sea-Bird SBE45 MicroTSG thermosalinograph","L05/133","thermosalinographs","Thermosalinograph SBE45","A small externally powered, high-accuracy instrument, designed for shipboard determination of sea surface (pumped-water) conductivity and temperature. It is constructed of plastic and titanium to ensure long life with minimum maintenance. It may optionally be interfaced to an external SBE 38 hull temperature sensor.","Thermosalinograph SBE45","startLine;endLine;abortLine;sampleLine","0"
EN513,"R2RE/1015","Generic Meterological Sensor","L05/102","meteorological packages","MeteorologicalSensor","Generic Meterological Sensor description goes here","MeteorologicalSensor","start;stop;other;","0"
EN513,"R2RE/9018","fluorometer r2r_devtype","L05/113","fluorometers","Fluorometer","measures fluorescence (usually for phytoplankton)","Fluorometer","startLine;endLine;abortLine;sampleLine","0"
EN513,"R2RE/1031","Generic XBT","L05/132","bathythermographs","XBT","The Expendable Bathythermograph (XBT) has been used by oceanographers for many years to obtain information on the temperature structure of the ocean to depths of up to 1500 meters. ","XBT","release","0"
EN513,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","Other","start;end","0"
EN520,"L221/TOOL0058","Sea-Bird SBE 911plus CTD","L05/130","CTD profilers","CTD911","High precision and accuracy CTD comprising an SBE 9plus underwater unit (SBE 3 temperature and SBE 4 conductivity sensors) and an SBE 11plus deck unit. Sensors may be connected to a pump-fed plastic tubing circuit (usually temperature, salinity and oxygen) or stand-alone. All instruments (8 channels available) on the package are logged by the SBE 11. The unit is the production off the shelf version of the SBE 911 (each 911 was custom built to individual specification).","CTD911","deploy;maxDepth;recover;abort;other","0"
EN520,"R2RE/1057","sediment trap","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","ISP","deploy;recover;abort;other","MODIFIED"
EN520,"R2RE/1057", "a net trap system", "R2RE/1010", "user specified", "UserSpecified", "Instrument that does not have a controlled vocabulary term", "netTrap", "deploy;recover;abort;other", "MODIFIED"
EN520,"R2RE/1057","plankton tow CTD","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","planktonTowCTD","start;end;abort;other","MODIFIED"
EN520,"R2RE/1057","sediment trap mooring","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","sedTrapMooring","deployStart;deployEnd;recoveryStart;recoveryEnd;other","MODIFIED"
EN520,"R2RE/1057","generic sediment coring device","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","sedimentCorer","deploy;recover;abort;other","MODIFIED"
EN520,"R2RE/1027","Academic Research Vessel","R2RE/1006","research vessel","Ship","Academic Research Vessel description goes here","Ship","startCruise;endCruise;other","MODIFIED"
EN520,"R2RE/1003","Generic ADCP75","L05/115","current profilers","ADCP75","An Acoustic Doppler Current Profiler, or Acoustic Doppler Profiler, is often referred to with the acronym ADCP. Scientists use the instrument to measure how fast water is moving across an entire water column. An ADCP anchored to the seafloor can measure current speed not just at the bottom, but also at equal intervals all the way up to the surface. The instrument can also be mounted horizontally on seawalls or bridge pilings in rivers and canals to measure the current profile from shore to shore, and to the bottoms of ships to take constant current measurements as the boats move. In very deep areas, they can be lowered on a cable from the surface.  The ADCP measures water currents with sound (75kHz), using a principle of sound waves called the Doppler effect.","ADCP75","start;stop;service;other","0"
EN520,"R2RE/1005","Generic ADCP300","L05/115","current profilers","ADCP300","A Doppler velocity log (DVL) measuring bottom track and water track velocities, altitude, heading, tilt, temperature, echo intensity, pressure and current velocities. 300kHz Broadband signal processing gives high data resolution and a four-beam solution gives an independent error velocity measurement as an indicator of data quality. It has a bottom track range of 200m and velocity accuracy for both bottom and water track modes is 0.4% of the velocity, ±0.2cm/s. The instrument operates effectively over a temperature range of -5°C to 45°C and with a tilt of up to ±15 deg.","ADCP300","start;stop;service;other","MODIFIED"
EN520,"R2RE/9039","generic 3.5kHz echosounder","L05/156","single-beam echosounders","Echosounder3.5","3.5 kHz echosounder of unknown make/model","Echosounder3.5","startLine;endLine;abortLine","0"
EN520,"L221/TOOL0190","Sea-Bird SBE45 MicroTSG thermosalinograph","L05/133","thermosalinographs","Thermosalinograph SBE45","A small externally powered, high-accuracy instrument, designed for shipboard determination of sea surface (pumped-water) conductivity and temperature. It is constructed of plastic and titanium to ensure long life with minimum maintenance. It may optionally be interfaced to an external SBE 38 hull temperature sensor.","Thermosalinograph SBE45","startLine;endLine;abortLine;sampleLine","0"
EN520,"R2RE/1015","Generic Meterological Sensor","L05/102","meteorological packages","MeteorologicalSensor","Generic Meterological Sensor description goes here","MeteorologicalSensor","start;stop;other;","0"
EN520,"R2RE/9018","fluorometer r2r_devtype","L05/113","fluorometers","Fluorometer","measures fluorescence (usually for phytoplankton)","Fluorometer","startLine;endLine;abortLine;sampleLine","0"
EN520,"R2RE/1031","Generic XBT","L05/132","bathythermographs","XBT","The Expendable Bathythermograph (XBT) has been used by oceanographers for many years to obtain information on the temperature structure of the ocean to depths of up to 1500 meters. ","XBT","release","0"
EN520,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","Other","start;end","0"
KN205,"R2RE/1003","Generic ADCP75","L05/115","current profilers","ADCP75","Generic ADCP-75 description goes here","ADCP75","start;stop;service;other","0"
KN205,"R2RE/1005","Generic ADCP300","L05/115","current profilers","ADCP300","A Doppler velocity log (DVL) measuring bottom track and water track velocities, altitude, heading, tilt, temperature, echo intensity, pressure and current velocities. 300kHz Broadband signal processing gives high data resolution and a four-beam solution gives an independent error velocity measurement as an indicator of data quality. It has a bottom track range of 200m and velocity accuracy for both bottom and water track modes is 0.4% of the velocity, ±0.2cm/s. The instrument operates effectively over a temperature range of -5°C to 45°C and with a tilt of up to ±15 deg.","ADCP300","star;stop;service;other","0"
KN205,"L221/TOOL0058","Sea-Bird SBE 911plus CTD","L05/130","CTD profilers","CTD911","High precision and accuracy CTD comprising an SBE 9plus underwater unit (SBE 3 temperature and SBE 4 conductivity sensors) and an SBE 11plus deck unit. Sensors may be connected to a pump-fed plastic tubing circuit (usually temperature, salinity and oxygen) or stand-alone. All instruments (8 channels available) on the package are logged by the SBE 11. The unit is the production off the shelf version of the SBE 911 (each 911 was custom built to individual specification).","CTD911","deploy;maxDepth;recover;abort;other","0"
KN205,"L221/TOOL0130","Simrad EA500 echosounder","L05/156","single-beam echosounders","Echosounder12","A single-beam, single-frequency (12kHz) deep water echosounder, with a maximum power of 2kW, 160dB dynamic range and Transducer 12-16-60 (16 degree circular, 60 degree passive beams). It was introduced in June 1989 and and replaced by the EA 600 in 2000.","Echosounder12","startLine;endLine;abortLine","0"
KN205,"L221/TOOLZZZ","unknown","L05/156","single-beam echosounders","Echosounder3.5","The correct value is not known to, and not computable by, the creator of this information. However, a correct value probably exists.","Echosounder3.5","startLine;endLine;abortLine","0"
KN205,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","Other","start;end","0"
KN205,"R2RE/1027","UNOLS Research Vessel ","R2RE/1006","research vessel","Ship","Academic Research Vessel description goes here","Ship","startCruise;endCruise;other","0"
KN205,"L221/TOOL0190","Sea-Bird SBE45 MicroTSG thermosalinograph","L05/133","thermosalinographs","Thermosalinograph","A small externally powered, high-accuracy instrument, designed for shipboard determination of sea surface (pumped-water) conductivity and temperature. It is constructed of plastic and titanium to ensure long life with minimum maintenance. It may optionally be interfaced to an external SBE 38 hull temperature sensor.","Thermosalinograph SBE45","start;stop;other;","0"
KN205,"R2RE/1031","Generic XBT","L05/132","bathythermographs","XBT","Generic XBT description goes here","XBT","release","0"
KN205,"R2RE/1015","Generic Meterological Sensor","L05/102","meteorological packages","MeterologicalSensor","Generic Meterological Sensor description goes here","MeteorologicalSensor","startLine;endLine;abortLine;sampleLine","0"
KN205,"R2RE/1016","Sea Beam multibeam echosounder","L05/157","multi-beam echosounders","Multibeam","Need Sea Beam description here","Seabeam","start;stop;other;","0"
KN205,"R2RE/9018","fluorometer r2r_devtype","L05/113","fluorometers","Fluorometer","measures fluorescence (usually for phytoplankton)","Fluorometer","startLine;endLine;abortLine;sampleLine","0"
KN205,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","scienceConferences","start;end;file;other","MODIFIED"
KN205,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","calibrationIOP","start;end;file;other","MODIFIED"
KN205,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","profile_IOP","launch;bottom;recover;abort;file;other","MODIFIED"
KN205,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","profileAOP","launch;bottom;recover;abort;file;other","MODIFIED"
KN205,"R2RE/9018","fluorometer r2r_devtype","L05/113","fluorometers","Fluorometer","measures fluorescence (usually for phytoplankton)","calibrationFlourometer","startLine;endLine;file;other","MODIFIED"
KN205,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","lagrangianFloat","deploy;command;surface;recover;file;other","MODIFIED"
KN205,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","umassDrogue","deploy;command;surface;recover;file;other","MODIFIED"
KN205,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","svpdDrifter","deploy;recover;abort;other","MODIFIED"
KN205,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","uvicMVP","start;end;file;other","MODIFIED"
KN205,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","Glider","deploy;recover;abort;other","MODIFIED"
KN205,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","Triaxus","deploy;turn;commError;subsurfaceFault;dataacquisitionFault;controllerFault;inCable;outCable;spikeTension;recover;other","MODIFIED"
KN205,"R2RE/9014","ctd r2r_devtype","L05/130","CTD profilers","CTD","integrated hydrographic system measures conductivity, temperature, pressure, etc.","underwayCTD","start;end;other","MODIFIED"
KN205,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","Other_1","start;end","0"
KN207-01,"L221/TOOL0058","Sea-Bird SBE 911plus CTD","L05/130","CTD profilers","CTD911","High precision and accuracy CTD comprising an SBE 9plus underwater unit (SBE 3 temperature and SBE 4 conductivity sensors) and an SBE 11plus deck unit. Sensors may be connected to a pump-fed plastic tubing circuit (usually temperature, salinity and oxygen) or stand-alone. All instruments (8 channels available) on the package are logged by the SBE 11. The unit is the production off the shelf version of the SBE 911 (each 911 was custom built to individual specification).","CTD911","deploy;maxDepth;recover;abort;other","0"
KN207-01,"R2RE/1057","free floating sediment trap","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","Net_trap","deploy;sighting;recover;other","MODIFIED"
KN207-01,"R2RE/1057","Particle Interceptor Trap","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","PIT_trap","deploy;sighting;recover;other","MODIFIED"
KN207-01,"R2RE/1057","McLane Pump","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","McLanePump","deploy;recover;other","MODIFIED"
KN207-01,"R2RE/1057", "Plankton Net Tow", "R2RE/1010", "user specified", "UserSpecified", "Instrument that does not have a controlled vocabulary term", "planktonNetTow", "deploy;recover;abort;other", "MODIFIED"
KN207-01,"R2RE/1003","Generic ADCP75","L05/115","current profilers","ADCP75","","ADCP75","start;stop;service;other","0"
KN207-01,"R2RE/1005","Generic ADCP300","L05/115","current profilers","ADCP300","A Doppler velocity log (DVL) measuring bottom track and water track velocities, altitude, heading, tilt, temperature, echo intensity, pressure and current velocities. 300kHz Broadband signal processing gives high data resolution and a four-beam solution gives an independent error velocity measurement as an indicator of data quality. It has a bottom track range of 200m and velocity accuracy for both bottom and water track modes is 0.4% of the velocity, ±0.2cm/s. The instrument operates effectively over a temperature range of -5°C to 45°C and with a tilt of up to ±15 deg.","ADCP300","star;stop;service;other","0"
KN207-01,"R2RE/1031","Generic XBT","L05/132","bathythermographs","XBT","The Expendable Bathythermograph (XBT) has been used by oceanographers for many years to obtain information on the temperature structure of the ocean to depths of up to 1500 meters. ","XBT","release","0"
KN207-01,"R2RE/1027","Academic Research Vessel","R2RE/1006","research vessel","Ship","Academic Research Vessel description goes here","Ship","startCruise;endCruise;other","0"
KN207-01,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","Other","start;end","0"
KN207-03,"L221/TOOL0058","Sea-Bird SBE 911plus CTD","L05/130","CTD profilers","CTD911","High precision and accuracy CTD comprising an SBE 9plus underwater unit (SBE 3 temperature and SBE 4 conductivity sensors) and an SBE 11plus deck unit. Sensors may be connected to a pump-fed plastic tubing circuit (usually temperature, salinity and oxygen) or stand-alone. All instruments (8 channels available) on the package are logged by the SBE 11. The unit is the production off the shelf version of the SBE 911 (each 911 was custom built to individual specification).","CTD911","deploy;maxDepth;recover;abort;other","0"
KN207-03,"R2RE/1057","free floatingsediment trap","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","Net_trap ","deploy;sighting;recover;other","MODIFIED"
KN207-03,"R2RE/1057","Particle Interceptor Trap","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","PIT_trap","deploy;sighting;recover;other","MODIFIED"
KN207-03,"R2RE/1057","McLane Pump","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","McLanePump","deploy;recover;other","MODIFIED"
KN207-03,"R2RE/1057","Plankton Net Tow ","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","planktonNetTow ","deploy;recover;abort;other","MODIFIED"
KN207-03,"R2RE/1057","glider","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","RU01_glider","deploy;recover;other","MODIFIED"
KN207-03,"R2RE/1057","glider","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","RU25_glider","deploy;recover;other","MODIFIED"
KN207-03,"R2RE/1057","Optical Profiling Float","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","opticalFloat","deploy;recover;other","MODIFIED"
KN207-03,"R2RE/1057","Pumping of water on-board for incubation exps","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","diaphramPump","start;end;service;other","MODIFIED"
KN207-03,"R2RE/1003","Generic ADCP75","L05/115","current profilers","ADCP75","","ADCP75","start;stop;service;other","0"
KN207-03,"R2RE/1005","Generic ADCP300","L05/115","current profilers","ADCP300","A Doppler velocity log (DVL) measuring bottom track and water track velocities, altitude, heading, tilt, temperature, echo intensity, pressure and current velocities. 300kHz Broadband signal processing gives high data resolution and a four-beam solution gives an independent error velocity measurement as an indicator of data quality. It has a bottom track range of 200m and velocity accuracy for both bottom and water track modes is 0.4% of the velocity, ±0.2cm/s. The instrument operates effectively over a temperature range of -5°C to 45°C and with a tilt of up to ±15 deg.","ADCP300","star;stop;service;other","0"
KN207-03,"R2RE/1031","Generic XBT","L05/132","bathythermographs","XBT","The Expendable Bathythermograph (XBT) has been used by oceanographers for many years to obtain information on the temperature structure of the ocean to depths of up to 1500 meters. ","XBT","release","0"
KN207-03,"R2RE/9018","fluorometer r2r_devtype","L05/113","fluorometers","Fluorometer","measures fluorescence (usually for phytoplankton)","Fluorometer","startLine;endLine;abortLine;sampleLine","0"
KN207-03,"L221/TOOL0190","Sea-Bird SBE45 MicroTSG thermosalinograph","L05/133","thermosalinographs","Thermosalinograph SBE45","A small externally powered, high-accuracy instrument, designed for shipboard determination of sea surface (pumped-water) conductivity and temperature. It is constructed of plastic and titanium to ensure long life with minimum maintenance. It may optionally be interfaced to an external SBE 38 hull temperature sensor.","Thermosalinograph SBE45","startLine;endLine;abortLine;sampleLine","0"
KN207-03,"R2RE/1015","Generic Meterological Sensor","L05/102","meteorological packages","MeteorologicalSensor","Generic Meterological Sensor description goes here","MeteorologicalSensor","start;stop;other;","0"
KN207-03,"R2RE/1016","Sea Beam multibeam echosounder","L05/157","multi-beam echosounders","Seabeam","A multibeam echosounder is a device typically used by hydrographic surveyors to determine the depth of water and the nature of the seabed.","Seabeam","start;stop;other;","0"
KN207-03,"R2RE/1027","Academic Research Vessel","R2RE/1006","research vessel","Ship","Academic Research Vessel description goes here","Ship","startCruise;endCruise;other","0"
KN207-03,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","Other","start;end","0"
KN210-04,"L221/TOOL0058","Sea-Bird SBE 911plus CTD","L05/130","CTD profilers","CTD911","High precision and accuracy CTD comprising an SBE 9plus underwater unit (SBE 3 temperature and SBE 4 conductivity sensors) and an SBE 11plus deck unit. Sensors may be connected to a pump-fed plastic tubing circuit (usually temperature, salinity and oxygen) or stand-alone. All instruments (8 channels available) on the package are logged by the SBE 11. The unit is the production off the shelf version of the SBE 911 (each 911 was custom built to individual specification).","CTD911","deploy;maxDepth;recover;abort;other","0"
